figure,output_file,generator,required_analysis_inputs,external_inputs,status_note
3.1,Figure_3_1_Berlin_DRT_cases.png,maps/make_figure_3_1.py,,"spatial/*.shp; OSM extracts; Berlin boundary; MATSim transit schedule; MATSim network","Supplied map source retained and normalised; map generation is opt-in because the external geospatial and MATSim inputs are not in the results archive."
4.1,Figure_4_1_baseline_demand_and_utilisation.png,make_main_figures.py,01_baseline/baseline_target_line_operational_summary.csv,,"Reconstructed from the supplied final PNG and frozen baseline operational summary; output uses a clean descriptive filename."
4.2,Figure_4_2_passenger_utility_and_journey_time_v4_affected_travellers.png,make_main_figures.py,"02_scenarios/{A8_FM,B6_PTI,C22_PTI}/person_level_impacts.csv.gz; 02_scenarios/{A8_FM,B6_PTI,C22_PTI}/trip_level_impacts.csv.gz",,"Reconstructed from the supplied final PNG; affected-traveller wording and clipped-range annotations are retained."
4.3,Figure_4_3_waiting_and_request_service_v4_frozen.png,make_main_figures.py,"02_scenarios/{A8_FM,B6_PTI,C22_PTI}/trip_level_impacts.csv.gz; 02_scenarios/{A8_FM,B6_PTI,C22_PTI}/drt_kpi_raw_final_window.csv",,"Reconstructed from the supplied final PNG and frozen waiting definitions; request-service KPIs use final-window raw means."
4.4,Figure_4_4_behavioural_adaptation.png,make_main_figures.py,"04_RQ_outputs/RQ3_original_bus_trip_mode_transitions.csv; 02_scenarios/{A8_FM,B6_PTI,C22_PTI}/mode_transitions_relevant.csv",,"Reconstructed from the supplied final PNG, including the stacked overview and case-specific transition matrices."
4.5,Figure_4_5_vehicle_resource_comparison.png,make_main_figures.py,"01_baseline/baseline_target_line_operational_summary.csv; 02_scenarios/{A8_FM,B6_PTI,C22_PTI}/drt_kpi_raw_final_window.csv",,"Reconstructed from the supplied final PNG; DRT KPIs are final-window raw means."
4.6,Figure_4_6_wider_road_network_effects.png,make_main_figures.py,03_network/network_comparison_vs_B0.csv,,"Reconstructed from the supplied final PNG and system-wide road-network comparison."
4.7,Figure_4_7_same_agent_utility_distributions.png,make_main_figures.py,"02_scenarios/{A4_FL,A8_FL,A12_FL,A4_FH,A8_FH,A12_FH,A8_FM,A8_SUB1}/person_level_impacts.csv.gz",,"Reconstructed from the supplied final PNG; all eight Case A design scenarios are retained."
4.8,Figure_4_8_fleet_effects_FL_FH.png,make_main_figures.py,"04_RQ_outputs/RQ2_caseA_intervention_design.csv; 02_scenarios/{A4_FL,A8_FL,A12_FL,A4_FH,A8_FH,A12_FH}/drt_kpi_raw_final_window.csv",,"Reconstructed from the supplied final PNG; utility comes from RQ2 and operational measures from final-window raw KPIs."
4.9,Figure_4_9_fare_design_demand_pooling_retention.png,make_main_figures.py,"04_RQ_outputs/RQ3_original_bus_trip_mode_transitions.csv; 02_scenarios/{A8_FM,A8_SUB1,A8_FL,A8_FH}/drt_kpi_raw_final_window.csv",,"Reconstructed from the supplied final PNG and the four eight-vehicle fare scenarios."
