scenario,case,role,ready,output_dir,status,last_score_iteration,issues,has_events,file_events,has_plans,file_plans,has_trips,file_trips,has_legs,file_legs,has_scorestats,file_scorestats,has_modestats,file_modestats,has_network,file_network,has_drt_customer,file_drt_customer,has_drt_vehicle,file_drt_vehicle,has_drt_sharing,file_drt_sharing
B0,B0,baseline,1,/workspace/projects/matsim-berlin/output/B0-10pct-it0-200-t16,OK,200,,1,/workspace/projects/matsim-berlin/output/B0-10pct-it0-200-t16/B0-10pct-it0-200-t16.output_events.xml.gz,1,/workspace/projects/matsim-berlin/output/B0-10pct-it0-200-t16/B0-10pct-it0-200-t16.output_plans.xml.gz,1,/workspace/projects/matsim-berlin/output/B0-10pct-it0-200-t16/B0-10pct-it0-200-t16.output_trips.csv.gz,1,/workspace/projects/matsim-berlin/output/B0-10pct-it0-200-t16/B0-10pct-it0-200-t16.output_legs.csv.gz,1,/workspace/projects/matsim-berlin/output/B0-10pct-it0-200-t16/B0-10pct-it0-200-t16.scorestats.csv,1,/workspace/projects/matsim-berlin/output/B0-10pct-it0-200-t16/B0-10pct-it0-200-t16.modestats.csv,1,/workspace/projects/matsim-berlin/output/B0-10pct-it0-200-t16/B0-10pct-it0-200-t16.output_network.xml.gz,0,,0,,0,
A4_FL,A,caseA_design,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-4veh-200it,OK,200,,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-4veh-200it/A-R-MD-FL-890-10pct-4veh-200it.output_events.xml.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-4veh-200it/A-R-MD-FL-890-10pct-4veh-200it.output_plans.xml.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-4veh-200it/A-R-MD-FL-890-10pct-4veh-200it.output_trips.csv.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-4veh-200it/A-R-MD-FL-890-10pct-4veh-200it.output_legs.csv.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-4veh-200it/A-R-MD-FL-890-10pct-4veh-200it.scorestats.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-4veh-200it/A-R-MD-FL-890-10pct-4veh-200it.modestats.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-4veh-200it/A-R-MD-FL-890-10pct-4veh-200it.output_network.xml.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-4veh-200it/A-R-MD-FL-890-10pct-4veh-200it.drt_customer_stats_drt.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-4veh-200it/A-R-MD-FL-890-10pct-4veh-200it.drt_vehicle_stats_drt.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-4veh-200it/A-R-MD-FL-890-10pct-4veh-200it.drt_sharing_metrics_drt.csv
A8_FL,A,caseA_design,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-8veh-200it,OK,200,,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-8veh-200it/A-R-MD-FL-890-10pct-8veh-200it.output_events.xml.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-8veh-200it/A-R-MD-FL-890-10pct-8veh-200it.output_plans.xml.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-8veh-200it/A-R-MD-FL-890-10pct-8veh-200it.output_trips.csv.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-8veh-200it/A-R-MD-FL-890-10pct-8veh-200it.output_legs.csv.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-8veh-200it/A-R-MD-FL-890-10pct-8veh-200it.scorestats.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-8veh-200it/A-R-MD-FL-890-10pct-8veh-200it.modestats.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-8veh-200it/A-R-MD-FL-890-10pct-8veh-200it.output_network.xml.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-8veh-200it/A-R-MD-FL-890-10pct-8veh-200it.drt_customer_stats_drt.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-8veh-200it/A-R-MD-FL-890-10pct-8veh-200it.drt_vehicle_stats_drt.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-8veh-200it/A-R-MD-FL-890-10pct-8veh-200it.drt_sharing_metrics_drt.csv
A12_FL,A,caseA_design,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-12veh-200it,OK,200,,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-12veh-200it/A-R-MD-FL-890-10pct-12veh-200it.output_events.xml.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-12veh-200it/A-R-MD-FL-890-10pct-12veh-200it.output_plans.xml.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-12veh-200it/A-R-MD-FL-890-10pct-12veh-200it.output_trips.csv.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-12veh-200it/A-R-MD-FL-890-10pct-12veh-200it.output_legs.csv.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-12veh-200it/A-R-MD-FL-890-10pct-12veh-200it.scorestats.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-12veh-200it/A-R-MD-FL-890-10pct-12veh-200it.modestats.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-12veh-200it/A-R-MD-FL-890-10pct-12veh-200it.output_network.xml.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-12veh-200it/A-R-MD-FL-890-10pct-12veh-200it.drt_customer_stats_drt.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-12veh-200it/A-R-MD-FL-890-10pct-12veh-200it.drt_vehicle_stats_drt.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FL-890-10pct-12veh-200it/A-R-MD-FL-890-10pct-12veh-200it.drt_sharing_metrics_drt.csv
A4_FH,A,caseA_design,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-4veh-200it,OK,200,,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-4veh-200it/A-R-MD-FH-890-10pct-4veh-200it.output_events.xml.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-4veh-200it/A-R-MD-FH-890-10pct-4veh-200it.output_plans.xml.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-4veh-200it/A-R-MD-FH-890-10pct-4veh-200it.output_trips.csv.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-4veh-200it/A-R-MD-FH-890-10pct-4veh-200it.output_legs.csv.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-4veh-200it/A-R-MD-FH-890-10pct-4veh-200it.scorestats.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-4veh-200it/A-R-MD-FH-890-10pct-4veh-200it.modestats.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-4veh-200it/A-R-MD-FH-890-10pct-4veh-200it.output_network.xml.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-4veh-200it/A-R-MD-FH-890-10pct-4veh-200it.drt_customer_stats_drt.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-4veh-200it/A-R-MD-FH-890-10pct-4veh-200it.drt_vehicle_stats_drt.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-4veh-200it/A-R-MD-FH-890-10pct-4veh-200it.drt_sharing_metrics_drt.csv
A8_FH,A,caseA_design,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-8veh-200it,OK,200,,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-8veh-200it/A-R-MD-FH-890-10pct-8veh-200it.output_events.xml.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-8veh-200it/A-R-MD-FH-890-10pct-8veh-200it.output_plans.xml.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-8veh-200it/A-R-MD-FH-890-10pct-8veh-200it.output_trips.csv.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-8veh-200it/A-R-MD-FH-890-10pct-8veh-200it.output_legs.csv.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-8veh-200it/A-R-MD-FH-890-10pct-8veh-200it.scorestats.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-8veh-200it/A-R-MD-FH-890-10pct-8veh-200it.modestats.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-8veh-200it/A-R-MD-FH-890-10pct-8veh-200it.output_network.xml.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-8veh-200it/A-R-MD-FH-890-10pct-8veh-200it.drt_customer_stats_drt.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-8veh-200it/A-R-MD-FH-890-10pct-8veh-200it.drt_vehicle_stats_drt.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-8veh-200it/A-R-MD-FH-890-10pct-8veh-200it.drt_sharing_metrics_drt.csv
A12_FH,A,caseA_design,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-12veh-200it,OK,200,,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-12veh-200it/A-R-MD-FH-890-10pct-12veh-200it.output_events.xml.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-12veh-200it/A-R-MD-FH-890-10pct-12veh-200it.output_plans.xml.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-12veh-200it/A-R-MD-FH-890-10pct-12veh-200it.output_trips.csv.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-12veh-200it/A-R-MD-FH-890-10pct-12veh-200it.output_legs.csv.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-12veh-200it/A-R-MD-FH-890-10pct-12veh-200it.scorestats.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-12veh-200it/A-R-MD-FH-890-10pct-12veh-200it.modestats.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-12veh-200it/A-R-MD-FH-890-10pct-12veh-200it.output_network.xml.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-12veh-200it/A-R-MD-FH-890-10pct-12veh-200it.drt_customer_stats_drt.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-12veh-200it/A-R-MD-FH-890-10pct-12veh-200it.drt_vehicle_stats_drt.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FH-890-10pct-12veh-200it/A-R-MD-FH-890-10pct-12veh-200it.drt_sharing_metrics_drt.csv
A8_FM,A,structural_control,1,/workspace/projects/matsim-berlin/output/A-R-MD-FM-890-10pct-8veh-200it,OK,200,,1,/workspace/projects/matsim-berlin/output/A-R-MD-FM-890-10pct-8veh-200it/A-R-MD-FM-890-10pct-8veh-200it.output_events.xml.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FM-890-10pct-8veh-200it/A-R-MD-FM-890-10pct-8veh-200it.output_plans.xml.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FM-890-10pct-8veh-200it/A-R-MD-FM-890-10pct-8veh-200it.output_trips.csv.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FM-890-10pct-8veh-200it/A-R-MD-FM-890-10pct-8veh-200it.output_legs.csv.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FM-890-10pct-8veh-200it/A-R-MD-FM-890-10pct-8veh-200it.scorestats.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FM-890-10pct-8veh-200it/A-R-MD-FM-890-10pct-8veh-200it.modestats.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FM-890-10pct-8veh-200it/A-R-MD-FM-890-10pct-8veh-200it.output_network.xml.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-FM-890-10pct-8veh-200it/A-R-MD-FM-890-10pct-8veh-200it.drt_customer_stats_drt.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FM-890-10pct-8veh-200it/A-R-MD-FM-890-10pct-8veh-200it.drt_vehicle_stats_drt.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-FM-890-10pct-8veh-200it/A-R-MD-FM-890-10pct-8veh-200it.drt_sharing_metrics_drt.csv
A8_SUB1,A,policy_sensitivity,1,/workspace/projects/matsim-berlin/output/A-R-MD-SUB1-890-10pct-8veh-200it,OK,200,,1,/workspace/projects/matsim-berlin/output/A-R-MD-SUB1-890-10pct-8veh-200it/A-R-MD-SUB1-890-10pct-8veh-200it.output_events.xml.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-SUB1-890-10pct-8veh-200it/A-R-MD-SUB1-890-10pct-8veh-200it.output_plans.xml.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-SUB1-890-10pct-8veh-200it/A-R-MD-SUB1-890-10pct-8veh-200it.output_trips.csv.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-SUB1-890-10pct-8veh-200it/A-R-MD-SUB1-890-10pct-8veh-200it.output_legs.csv.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-SUB1-890-10pct-8veh-200it/A-R-MD-SUB1-890-10pct-8veh-200it.scorestats.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-SUB1-890-10pct-8veh-200it/A-R-MD-SUB1-890-10pct-8veh-200it.modestats.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-SUB1-890-10pct-8veh-200it/A-R-MD-SUB1-890-10pct-8veh-200it.output_network.xml.gz,1,/workspace/projects/matsim-berlin/output/A-R-MD-SUB1-890-10pct-8veh-200it/A-R-MD-SUB1-890-10pct-8veh-200it.drt_customer_stats_drt.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-SUB1-890-10pct-8veh-200it/A-R-MD-SUB1-890-10pct-8veh-200it.drt_vehicle_stats_drt.csv,1,/workspace/projects/matsim-berlin/output/A-R-MD-SUB1-890-10pct-8veh-200it/A-R-MD-SUB1-890-10pct-8veh-200it.drt_sharing_metrics_drt.csv
B6_PTI,B,structural_robustness,1,/workspace/projects/matsim-berlin/output/B-FORMAL-435-10pct-6veh-4seat-PTI-200it,OK,200,,1,/workspace/projects/matsim-berlin/output/B-FORMAL-435-10pct-6veh-4seat-PTI-200it/B-FORMAL-435-10pct-6veh-4seat-PTI-200it.output_events.xml.gz,1,/workspace/projects/matsim-berlin/output/B-FORMAL-435-10pct-6veh-4seat-PTI-200it/B-FORMAL-435-10pct-6veh-4seat-PTI-200it.output_plans.xml.gz,1,/workspace/projects/matsim-berlin/output/B-FORMAL-435-10pct-6veh-4seat-PTI-200it/B-FORMAL-435-10pct-6veh-4seat-PTI-200it.output_trips.csv.gz,1,/workspace/projects/matsim-berlin/output/B-FORMAL-435-10pct-6veh-4seat-PTI-200it/B-FORMAL-435-10pct-6veh-4seat-PTI-200it.output_legs.csv.gz,1,/workspace/projects/matsim-berlin/output/B-FORMAL-435-10pct-6veh-4seat-PTI-200it/B-FORMAL-435-10pct-6veh-4seat-PTI-200it.scorestats.csv,1,/workspace/projects/matsim-berlin/output/B-FORMAL-435-10pct-6veh-4seat-PTI-200it/B-FORMAL-435-10pct-6veh-4seat-PTI-200it.modestats.csv,1,/workspace/projects/matsim-berlin/output/B-FORMAL-435-10pct-6veh-4seat-PTI-200it/B-FORMAL-435-10pct-6veh-4seat-PTI-200it.output_network.xml.gz,1,/workspace/projects/matsim-berlin/output/B-FORMAL-435-10pct-6veh-4seat-PTI-200it/B-FORMAL-435-10pct-6veh-4seat-PTI-200it.drt_customer_stats_drt.csv,1,/workspace/projects/matsim-berlin/output/B-FORMAL-435-10pct-6veh-4seat-PTI-200it/B-FORMAL-435-10pct-6veh-4seat-PTI-200it.drt_vehicle_stats_drt.csv,1,/workspace/projects/matsim-berlin/output/B-FORMAL-435-10pct-6veh-4seat-PTI-200it/B-FORMAL-435-10pct-6veh-4seat-PTI-200it.drt_sharing_metrics_drt.csv
