hour,road_vkt_km,road_travel_time_h,road_delay_h,link_traversals
0,8528.28153000004,294.1505555555441,118.29434081062129,36609
1,17879.922740000064,849.9936111110438,513.7668200048523,64543
2,25266.020829999812,1108.996666666551,641.0281239628243,87470
3,31263.953309999724,1544.8227777777852,966.858129219014,107367
4,65381.847859998474,3974.7047222229203,2713.838748058974,236209
5,206368.41668999527,22075.037500001603,17949.092506307126,791634
6,527602.6471798989,85000.59777779307,74254.47645989028,2068132
7,797722.9436101948,156505.33583339394,140017.25256173185,3142393
8,779901.3059802244,188212.8175000676,171539.34827063905,3195009
9,626603.9509600429,145482.43944449077,131895.10240702593,2608732
10,531448.4033498905,80692.48388891734,69264.26401116216,2193032
11,502757.6007199085,63844.75611113397,52987.347765287894,2095110
12,518693.4941598872,61819.56388891633,50617.55532293404,2171015
13,540014.5756998613,60225.343333362754,48492.66891390494,2279104
14,635099.8237599646,56807.42000004596,43026.0655523782,2696330
15,753149.8081500866,56577.00055561849,40296.53492451978,3179853
16,814710.6625601486,53677.1163889637,36285.146050316245,3388153
17,761024.3555801403,48148.88083339933,31827.460195824882,3207497
18,640921.4751800072,38892.22555560585,25099.71437109684,2732346
19,485530.3222999006,23133.258611129964,12811.99015426947,2049725
20,356716.386289919,12267.315555548337,4867.097126640652,1466832
21,251162.6032100043,6975.919444441603,1957.12559091654,978558
22,155662.2606799939,3917.189722224693,978.1044738247402,551138
23,98595.56424999435,2230.2486111120893,520.104258895622,303893
24,60205.9784799997,1354.6313888892346,305.82654185834787,182919
25,36342.23543999993,812.5177777777948,214.93538910732383,95968
26,25483.872260000036,553.2999999999251,136.3269198079126,65348
27,18812.10528000011,406.4999999999641,101.11661771282448,47934
28,13679.498719999989,292.0561111110977,72.7887990845126,34409
29,10475.026979999964,222.39666666665968,52.83359309458219,26051
30,8283.401210000022,167.94527777777336,34.20921214923758,19857
31,6439.807980000019,130.4724999999976,27.821428388020855,14919
32,4682.295099999998,99.88305555555375,23.57482787116774,11172
33,3267.3625100000118,64.64972222222184,11.706157312727832,7587
34,2262.747469999997,42.84861111111102,5.379686146359902,5530
35,1489.2903299999957,27.013333333333243,1.3372594734611356,3899
36,0.72761,0.0,0.0,2
