dimension,group,target_bus_trips,share_target_trips_using_drt,share_target_trips_to_car,mean_delta_journey_min,scenario_wait_mean_min,scenario_wait_p95_min,mean_delta_wait_min
income,high,13,0.23076923076923078,0.15384615384615385,2.1448717948717952,9.166666666666668,37.89666666666666,-3.3961538461538465
income,low,45,0.1111111111111111,0.15555555555555556,-7.38925925925926,14.808148148148153,49.28666666666666,-8.18962962962963
income,middle,30,0.3333333333333333,0.16666666666666666,-7.791666666666668,13.152222222222218,36.0633333333333,-2.5972222222222223
age,25-44,33,0.18181818181818182,0.15151515151515152,-1.8676767676767667,14.202525252525248,49.92666666666666,-4.385353535353535
age,45-64,26,0.11538461538461539,0.34615384615384615,-14.263461538461538,10.350641025641027,45.75833333333333,-10.278205128205128
age,65+,15,0.4,0.0,-5.098888888888889,14.487777777777776,39.12333333333332,-5.819999999999999
age,<25,14,0.21428571428571427,0.0,-2.1011904761904767,16.070238095238093,42.98083333333333,0.6178571428571422
gender,f,41,0.0975609756097561,0.17073170731707318,-5.652439024390243,14.18292682926829,47.5,-7.355284552845529
gender,m,47,0.2978723404255319,0.14893617021276595,-6.5241134751773044,12.736170212765957,43.8783333333333,-4.021985815602837
car_availability,always,82,0.2073170731707317,0.17073170731707318,-7.136178861788618,13.080894308943094,47.461666666666666,-6.177642276422764
car_availability,never,6,0.16666666666666666,0.0,7.797222222222222,17.91111111111111,43.954166666666666,2.6611111111111114
employment,false,25,0.28,0.08,-9.118,12.99133333333333,44.38999999999998,-6.870666666666666
employment,true,63,0.1746031746031746,0.19047619047619047,-4.927513227513227,13.576455026455026,49.43333333333332,-5.060846560846562
