dimension,group,n,mean_delta_score,median_delta_score,p10_delta_score,p90_delta_score,share_better,share_worse,share_using_drt
income,high,281,-3.4808369307461073,-2.8690129224244174,-7.7708970722462425,0.02819513939823537,0.10676156583629894,0.8932384341637011,0.30604982206405695
income,low,522,-7.201320446433828,-4.833289515361145,-15.030083322760195,0.12670403290554924,0.1206896551724138,0.8793103448275862,0.20689655172413793
income,middle,387,-4.262374994670044,-3.678653905930588,-10.432274439127522,0.18533477890514483,0.11886304909560723,0.8811369509043928,0.2454780361757106
age,25-44,398,-5.2310918376157725,-4.323420872625647,-12.120964772777972,0.03151178358122147,0.10050251256281408,0.8994974874371859,0.25879396984924624
age,45-64,409,-6.199352854528597,-3.639152172486149,-11.337462250005578,0.22946508090028028,0.13202933985330073,0.8679706601466992,0.2469437652811736
age,65+,169,-4.425222801609054,-2.9312045242164118,-11.780186375006968,0.17607310794924008,0.14201183431952663,0.8579881656804734,0.22485207100591717
age,<25,214,-4.772761921356149,-3.380591361258027,-11.397701753014816,-0.032342343873710225,0.09813084112149532,0.9018691588785047,0.21962616822429906
gender,f,656,-5.005482189951408,-3.820509727550146,-11.85787206100526,0.05390579688580743,0.10670731707317073,0.8932926829268293,0.25
gender,m,534,-5.811137185219653,-3.5930488580630353,-11.703243460591729,0.265422180153439,0.12921348314606743,0.8707865168539326,0.2340823970037453
car_availability,always,1087,-5.470349195846461,-3.793944101862536,-11.836131415309097,0.12352537497837646,0.11683532658693652,0.8831646734130635,0.24195032198712052
car_availability,never,103,-4.276446578935176,-2.8828642186243343,-11.32200399122626,0.05515332860741168,0.11650485436893204,0.883495145631068,0.2524271844660194
employment,false,312,-6.614265861479699,-3.2991825989153796,-12.842024988684992,0.04479746723000746,0.11538461538461539,0.8846153846153846,0.23076923076923078
employment,true,878,-4.923795700152339,-3.8670546635353134,-11.505366601035606,0.2027003268385695,0.11731207289293849,0.8826879271070615,0.24715261958997722
