b0_effective_mode,scenario_effective_mode,transition_class,trips,share_of_compared_relevant_trips
TARGET_BUS,DRT_CONTAINING,target_bus_to_DRT,18,0.072
TARGET_BUS,bike,target_bus_to_bike,2,0.008
TARGET_BUS,car,target_bus_to_car,14,0.056
TARGET_BUS,pt,target_bus_to_other_PT,40,0.16
TARGET_BUS,ride,target_bus_to_other,12,0.048
TARGET_BUS,walk,target_bus_to_walk,2,0.008
bike,bike,other_transition,2,0.008
car,DRT_CONTAINING,car_to_DRT,3,0.012
car,car,other_transition,2,0.008
pt,DRT_CONTAINING,other_PT_to_DRT,9,0.036
pt,car,other_transition,13,0.052
pt,pt,other_transition,52,0.208
pt,ride,other_transition,4,0.016
pt,walk,other_transition,1,0.004
ride,car,other_transition,4,0.016
ride,pt,other_transition,1,0.004
ride,ride,other_transition,11,0.044
ride,walk,other_transition,1,0.004
walk,car,other_transition,5,0.02
walk,ride,other_transition,6,0.024
walk,walk,other_transition,48,0.192
