hour,road_vkt_km,road_travel_time_h,road_delay_h,link_traversals,drt_regex_road_vkt_km,drt_regex_road_travel_time_h,drt_regex_road_delay_h,drt_regex_link_traversals
0,8541.078010000041,295.6477777777654,119.53910051147206,36941,,,,
1,17898.03006000011,823.7969444443788,489.53051568049807,64232,,,,
2,25385.394209999835,1119.9019444443334,651.4713244184269,87819,,,,
3,31256.483639999435,1525.048055555549,947.9398544629569,107243,,,,
4,65266.89519999914,3925.73138888956,2668.8043677776777,235022,5.11678,0.3169444444444445,0.1387909330424664,43.0
5,204983.27478000068,22035.141666668565,17932.23802179431,787370,37.04697000000003,3.9688888888888885,3.033529901304166,181.0
6,525657.6420799127,84218.09500001534,73520.88564749257,2058353,26.17889000000001,8.651388888888889,7.893045556223669,172.0
7,794859.4007102319,156339.05666672383,139905.55443821428,3134600,107.56167999999988,6.389444444444444,4.048113358263249,405.0
8,780854.7649201998,188064.39638895734,171383.61672286587,3197600,50.08828,11.601111111111113,10.419079931486046,215.0
9,622882.2372800302,144704.10583337737,131209.56571866764,2587235,45.92424000000002,4.708611111111111,3.777594607960971,177.0
10,527384.8015798959,80290.7583333624,68956.38302035809,2175847,53.41534,7.408611111111112,6.342208384907075,203.0
11,501189.74424991355,63968.95250002392,53152.41062358626,2088836,42.862930000000006,9.771944444444445,8.853609836323795,173.0
12,514716.55237988936,61428.633888914905,50300.25246240231,2154628,29.653800000000004,6.3758333333333335,5.69093603288448,114.0
13,536547.0515898721,59943.671944474096,48298.55108619267,2263557,40.577650000000006,5.7027777777777775,4.767742748548344,173.0
14,632475.7705599932,57016.53944449087,43273.80269618692,2690201,32.37027,6.378055555555554,5.570183899790345,136.0
15,746181.4801700964,56442.01055561618,40312.73229107051,3155145,76.70734999999995,4.403888888888889,3.013785278196422,248.0
16,810327.285590232,53246.91500006954,36002.12847957997,3355145,113.18886999999995,11.605833333333338,8.975800054352879,511.0
17,754901.5753101009,48171.19861117681,31982.479218785476,3181898,76.58918999999993,2.950555555555554,1.5241299158840413,273.0
18,634393.7246199858,38928.5569444956,25266.788691357346,2707685,37.41008,2.1466666666666665,1.290345558189306,177.0
19,482606.12354987103,23554.09916668715,13270.784859705072,2050157,26.613040000000005,1.2397222222222226,0.542940761989104,149.0
20,358953.36659993057,12305.711388881151,4847.994515670352,1478201,37.16304000000001,1.052222222222222,0.27111401236465804,153.0
21,251119.4273400094,7063.317222219009,2042.8067716665732,979811,0.9466800000000001,0.0325,0.0005700502677781172,6.0
22,157218.06975999652,3981.4244444468695,1018.8129702814527,554852,,,,
23,99527.1173699952,2248.751666667682,515.7275677414245,309058,,,,
24,61357.22815999961,1401.5502777781792,329.33596035546475,187455,,,,
25,37725.39192000045,823.4119444444717,206.35140773064478,97315,,,,
26,26698.11605000036,568.6102777776986,136.85147160709917,68199,,,,
27,18579.95524000011,410.5888888888489,106.4641666287966,48181,,,,
28,14365.731239999872,306.91916666665054,77.12378229889791,35051,,,,
29,10889.071160000018,232.03472222221342,55.91994879501342,26986,,,,
30,8629.366659999989,172.23638888888405,35.17812040845346,20272,,,,
31,6375.175490000031,130.10361111110868,28.675780363125696,14923,,,,
32,4768.312270000014,102.64222222222057,24.803069288187675,11694,,,,
33,3687.424019999992,71.08472222222156,11.956652166029297,8497,,,,
34,2066.028780000003,40.724166666666584,6.0861913245844015,5414,,,,
35,1492.3124999999964,28.08833333333317,1.3597247496514249,4109,,,,
36,0.35052999999999995,0.0,0.0,1,,,,
