hour,road_vkt_km,road_travel_time_h,road_delay_h,link_traversals
0,8547.401730000052,292.6177777777659,116.20825538349378,36577
1,17824.106430000083,836.6905555554937,501.1881493649166,64658
2,25208.675679999502,1142.8263888887814,674.5451453808896,87843
3,31479.188919999422,1542.8933333333305,962.4104352007103,107641
4,64962.312459999455,3969.714722222914,2718.693740991943,234613
5,204647.46318999855,21827.42972222382,17726.96634401605,788411
6,524473.4993299101,84533.29888890283,73847.96371672789,2056336
7,794712.0207202731,156029.60083339488,139579.6422255629,3139544
8,779859.4230601803,188199.58722229095,171523.04435968987,3197214
9,623633.4906600276,146168.756111157,132639.5963534955,2595531
10,529096.47229989,80144.08527780608,68774.28316969724,2179389
11,502797.2072499175,64079.263611133385,53220.26498576701,2098608
12,515892.44783991465,61622.73333335954,50456.0832873159,2162947
13,538061.3105498836,59978.25750002982,48290.4516932177,2272107
14,633429.4592700127,56657.62638893462,42899.258632061996,2692487
15,746654.4198600893,56574.72250006052,40395.11736829418,3159530
16,809886.8036001726,53447.260000069946,36180.46976582925,3362898
17,755182.1441301601,48286.29972228831,32067.021125506206,3183881
18,632497.6672900273,39093.27333338328,25443.20591139194,2707695
19,479912.0595598757,23210.63138890864,12940.817546244507,2049447
20,355901.32298993034,12409.747499992991,4986.1488437794615,1476547
21,253583.04612000563,7150.361388885548,2098.4746887737124,987433
22,159736.02269998938,3986.9055555581353,994.4554431330525,561650
23,98734.25683999575,2265.922500001018,533.6138738918503,310610
24,61839.81138999979,1397.1219444448054,332.46802245754026,183683
25,37873.21602000011,813.0638888889074,197.54938424756193,97932
26,26386.734720000182,572.2924999999235,142.06065426662772,67147
27,19083.643240000132,417.57944444440176,103.29150573651076,49458
28,13974.93312999989,310.5516666666528,87.09656077977148,34138
29,11176.548569999968,228.09916666665933,48.998443731886596,27336
30,8609.653979999968,179.1491666666623,40.19445647992791,20371
31,6471.071640000012,133.38194444444207,28.726566711054488,15182
32,4947.900269999989,105.10694444444276,24.666067832288903,11672
33,3680.019739999996,72.68583333333267,12.15381497168563,9359
34,2270.53044,44.37027777777752,5.697710100811491,6229
35,1635.7959599999974,28.35138888888878,1.0747842879454947,3943
36,0.21835,0.0,0.0,1
