hour,road_vkt_km,road_travel_time_h,road_delay_h,link_traversals
0,8500.43581,292.27916666665476,116.08929462338618,36771
1,17950.976389999985,835.6769444443773,499.763756008899,64581
2,25193.745889999565,1139.3072222221103,670.7957079192981,87891
3,31565.5033599995,1503.4969444444375,920.8653734488465,107925
4,64778.12743999986,3932.507222222904,2679.1839113188953,235279
5,205327.355939999,22291.700277779444,18171.435482558038,792083
6,525799.0689399197,84394.55583334787,73680.67930952898,2063676
7,796903.9613601902,156935.2102778378,140443.33987588796,3149841
8,781678.5259501924,188348.04472229123,171633.71967463408,3203192
9,623851.5861000441,145583.9816667107,132058.83189236623,2597331
10,528565.5844098992,80267.88361113924,68888.88302436197,2185153
11,501809.3227499168,63902.51083335635,53052.346302505044,2096880
12,516388.22025988245,61681.002500026734,50511.175003957695,2165988
13,537071.7195898844,59993.48694447387,48329.198289181804,2267487
14,633883.2282599665,56695.7966667121,42936.32920894813,2689539
15,746721.9160901346,56823.04250006304,40656.41671121497,3159794
16,808378.2067301447,53666.37805562665,36412.10062370677,3356309
17,755506.2331601572,48499.00055562345,32279.886563065083,3187191
18,633453.3293800299,39178.55416671409,25493.41900183402,2717018
19,486471.98842987756,23332.236666687746,12955.290516989262,2071289
20,361446.6082199196,12251.785555548371,4737.727558541655,1490820
21,253618.78551001573,7076.582222218907,2032.7196201345623,986382
22,156730.20719999084,3991.7619444468646,1039.7773176504177,552450
23,97274.50398999569,2223.1902777787664,520.3616707086836,304218
24,62048.22800999968,1395.378333333724,317.47501251736935,187755
25,37532.208219999804,824.7691666666943,215.7193716878113,97202
26,25903.509040000037,553.6333333332535,130.735632592712,66787
27,19258.253410000085,423.68499999996,108.73235001582812,49053
28,14166.696629999968,308.5886111110956,81.73957762986707,34638
29,10789.221059999909,225.0511111111039,51.770249128495934,26264
30,8463.890199999949,171.63777777777344,35.27935832643062,20023
31,6461.895189999985,137.10861111110847,33.99947862042293,15182
32,4722.633739999995,97.07694444444293,18.493230159490444,12004
33,3757.1786700000025,69.62722222222192,10.418577434629862,8453
34,2232.9276600000044,44.273055555555345,5.118924973192004,6307
35,1692.540469999996,29.734166666666507,1.127241247980377,4093
36,0.76666,0.0,0.0,4
