scenario,case,b0_mode,transition_class,trips,share_of_drt_containing_trips
A4_FL,A,car,car_to_DRT,3,0.1
A4_FL,A,pt,other_PT_to_DRT,9,0.3
A4_FL,A,pt,target_bus_to_DRT,18,0.6
A8_FL,A,pt,other_PT_to_DRT,11,0.3928571428571429
A8_FL,A,pt,target_bus_to_DRT,17,0.6071428571428571
A12_FL,A,pt,other_PT_to_DRT,8,0.3333333333333333
A12_FL,A,pt,target_bus_to_DRT,16,0.6666666666666666
A4_FH,A,pt,other_PT_to_DRT,3,0.1875
A4_FH,A,pt,target_bus_to_DRT,12,0.75
A4_FH,A,ride,other_mode_to_DRT,1,0.0625
A8_FH,A,pt,other_PT_to_DRT,4,0.2222222222222222
A8_FH,A,pt,target_bus_to_DRT,14,0.7777777777777778
A12_FH,A,pt,other_PT_to_DRT,4,0.26666666666666666
A12_FH,A,pt,target_bus_to_DRT,11,0.7333333333333333
A8_FM,A,bike,active_mode_to_DRT,8,0.05594405594405594
A8_FM,A,car,car_to_DRT,25,0.17482517482517482
A8_FM,A,pt,other_PT_to_DRT,41,0.2867132867132867
A8_FM,A,pt,target_bus_to_DRT,50,0.34965034965034963
A8_FM,A,ride,other_mode_to_DRT,7,0.04895104895104895
A8_FM,A,walk,active_mode_to_DRT,12,0.08391608391608392
A8_SUB1,A,car,car_to_DRT,7,0.10294117647058824
A8_SUB1,A,pt,other_PT_to_DRT,24,0.35294117647058826
A8_SUB1,A,pt,target_bus_to_DRT,34,0.5
A8_SUB1,A,ride,other_mode_to_DRT,3,0.04411764705882353
B6_PTI,B,car,car_to_DRT,2,0.04
B6_PTI,B,pt,other_PT_to_DRT,15,0.3
B6_PTI,B,pt,target_bus_to_DRT,33,0.66
C22_PTI,C,bike,active_mode_to_DRT,13,0.021885521885521887
C22_PTI,C,car,car_to_DRT,34,0.057239057239057235
C22_PTI,C,pt,other_PT_to_DRT,93,0.15656565656565655
C22_PTI,C,pt,target_bus_to_DRT,433,0.7289562289562289
C22_PTI,C,ride,other_mode_to_DRT,9,0.015151515151515154
C22_PTI,C,walk,active_mode_to_DRT,12,0.020202020202020204
