scenario,case,dimension,group,target_bus_trips,share_target_trips_using_drt,share_target_trips_to_car,mean_delta_journey_min,scenario_wait_mean_min,scenario_wait_p95_min,mean_delta_wait_min
A4_FL,A,income,high,13,0.2307692307692308,0.15384615384615385,2.1448717948717952,9.166666666666668,37.896666666666654,-3.3961538461538465
A4_FL,A,income,low,45,0.1111111111111111,0.15555555555555556,-7.389259259259259,14.808148148148153,49.28666666666666,-8.18962962962963
A4_FL,A,income,middle,30,0.3333333333333333,0.16666666666666666,-7.791666666666668,13.152222222222216,36.0633333333333,-2.5972222222222223
A4_FL,A,age,25-44,33,0.18181818181818185,0.15151515151515152,-1.8676767676767667,14.202525252525248,49.92666666666666,-4.385353535353535
A4_FL,A,age,45-64,26,0.1153846153846154,0.3461538461538461,-14.263461538461538,10.350641025641028,45.75833333333333,-10.278205128205126
A4_FL,A,age,65+,15,0.4,0.0,-5.098888888888889,14.487777777777774,39.12333333333332,-5.8199999999999985
A4_FL,A,age,<25,14,0.21428571428571427,0.0,-2.1011904761904767,16.070238095238093,42.98083333333333,0.6178571428571422
A4_FL,A,gender,f,41,0.0975609756097561,0.17073170731707318,-5.652439024390242,14.182926829268288,47.5,-7.355284552845528
A4_FL,A,gender,m,47,0.2978723404255319,0.14893617021276595,-6.524113475177304,12.736170212765956,43.8783333333333,-4.021985815602838
A4_FL,A,car_availability,always,82,0.2073170731707317,0.17073170731707318,-7.1361788617886175,13.080894308943096,47.46166666666666,-6.177642276422764
A4_FL,A,car_availability,never,6,0.16666666666666666,0.0,7.7972222222222225,17.911111111111108,43.95416666666666,2.6611111111111114
A4_FL,A,employment,false,25,0.28,0.08,-9.118,12.99133333333333,44.38999999999998,-6.870666666666667
A4_FL,A,employment,true,63,0.1746031746031746,0.19047619047619047,-4.927513227513226,13.576455026455026,49.43333333333332,-5.060846560846562
A8_FL,A,income,high,13,0.15384615384615385,0.07692307692307693,2.5820512820512818,7.685897435897435,28.519999999999968,-4.8769230769230765
A8_FL,A,income,low,45,0.1111111111111111,0.24444444444444444,-12.488148148148149,13.661851851851852,52.993333333333304,-9.335925925925926
A8_FL,A,income,middle,30,0.3333333333333333,0.13333333333333333,-10.363888888888887,11.252222222222226,31.46083333333332,-4.497222222222222
A8_FL,A,age,25-44,33,0.24242424242424246,0.30303030303030304,-15.553030303030301,9.963636363636363,28.516666666666666,-8.624242424242421
A8_FL,A,age,45-64,26,0.07692307692307693,0.19230769230769232,-9.262179487179488,13.632051282051284,58.09166666666666,-6.996794871794871
A8_FL,A,age,65+,15,0.3333333333333333,0.0,-6.762222222222222,12.665555555555557,24.55999999999999,-7.6422222222222205
