scenario,case,dimension,group,n,mean_delta_score,median_delta_score,p10_delta_score,p90_delta_score,share_better,share_worse,share_using_drt
A4_FL,A,income,high,12,-1.031816221050762,-0.3858840940185999,-5.2437842173834674,2.7277972171557336,0.4166666666666667,0.5833333333333334,0.25
A4_FL,A,income,low,31,-6.416430009698964,-6.6665284364170105,-16.854029596846498,1.6177253379168235,0.1935483870967742,0.8064516129032258,0.1935483870967742
A4_FL,A,income,middle,24,-4.627843214525504,-3.046013877820521,-12.715843076743267,1.4904475345082155,0.2916666666666667,0.7083333333333334,0.375
A4_FL,A,age,25-44,26,-5.951697229160858,-4.6944754918692695,-14.365655239642436,0.7576116064807934,0.19230769230769232,0.8076923076923077,0.2692307692307692
A4_FL,A,age,45-64,19,-4.831933601786079,-2.4814973321255285,-16.287584736353413,2.854983995068716,0.3684210526315789,0.631578947368421,0.15789473684210525
A4_FL,A,age,65+,10,-1.3073486741770566,-1.0025645489095112,-6.7097413923130045,1.5414389880699124,0.4,0.6,0.4
A4_FL,A,age,<25,12,-5.2279174140000615,-6.129843741529528,-13.003776230693116,1.8422973749761204,0.16666666666666666,0.8333333333333334,0.3333333333333333
A4_FL,A,gender,f,31,-4.430117395464749,-4.85307855667277,-10.875123925143528,1.6177253379168235,0.25806451612903225,0.7419354838709677,0.1935483870967742
A4_FL,A,gender,m,36,-5.139603412291162,-2.803458916904532,-16.40420317827902,2.4521371093724085,0.2777777777777778,0.7222222222222222,0.3333333333333333
A4_FL,A,car_availability,always,61,-4.782921807238193,-3.0674873767030983,-13.188236114374547,1.7458891106631995,0.2786885245901639,0.7213114754098361,0.26229508196721313
A4_FL,A,car_availability,never,6,-5.100188643393217,-4.770310720152715,-11.472237681436772,0.9419824714098368,0.16666666666666666,0.8333333333333334,0.3333333333333333
A4_FL,A,employment,false,19,-5.256667812770696,-2.113444991595472,-16.529192137029213,1.4195957585128975,0.2631578947368421,0.7368421052631579,0.3157894736842105
A4_FL,A,employment,true,48,-4.635055701234289,-3.5040466529793686,-12.270567452019222,2.0731918128273823,0.2708333333333333,0.7291666666666666,0.25
A8_FL,A,income,high,12,-0.5694694051286587,0.1850233301636166,-4.554005066439859,1.6970652668892998,0.5,0.5,0.25
A8_FL,A,income,low,31,-6.286363357243713,-3.3162822367284686,-16.40165513910651,1.006215669288693,0.2903225806451613,0.7096774193548387,0.12903225806451613
A8_FL,A,income,middle,24,-4.3079958640581815,-2.7173730906461633,-10.084759962538367,0.3658473136238085,0.20833333333333331,0.7916666666666666,0.4166666666666667
A8_FL,A,age,25-44,26,-5.32868977523682,-3.15502751208642,-10.96077547757048,0.30830192251785604,0.19230769230769232,0.8076923076923077,0.3461538461538461
A8_FL,A,age,45-64,19,-5.710875786182144,-4.72485069521197,-13.640234091228127,1.9821767892975732,0.3684210526315789,0.631578947368421,0.10526315789473684
A8_FL,A,age,65+,10,-0.13729307595719292,0.06112777670074365,-1.7220351178026998,1.3536413376962937,0.5,0.5,0.3
A8_FL,A,age,<25,12,-4.723107735025447,-1.71904618267898,-12.609514450348975,0.8999946933157349,0.25,0.75,0.25
A8_FL,A,gender,f,31,-3.5491391092145816,-1.606113013456138,-12.153381302794829,1.6177253379168235,0.3548387096774194,0.6451612903225806,0.12903225806451613
A8_FL,A,gender,m,36,-5.418874591328978,-1.8844419978812328,-14.13946801077244,0.9085582387648116,0.25,0.75,0.3611111111111111
A8_FL,A,car_availability,always,61,-4.730471938069046,-2.087450597979398,-12.153381302794829,1.2576506729242,0.29508196721311475,0.7049180327868853,0.2459016393442623
A8_FL,A,car_availability,never,6,-2.7573349085472523,-0.2804192713161981,-9.709024773298689,1.7174393189731276,0.3333333333333333,0.6666666666666666,0.3333333333333333
A8_FL,A,employment,false,19,-4.839208034493076,-0.4216979578670959,-16.891027359289716,1.4496320024683875,0.3684210526315789,0.631578947368421,0.2631578947368421
A8_FL,A,employment,true,48,-4.440788437877644,-3.15502751208642,-10.634663205459104,1.1896685698771348,0.2708333333333333,0.7291666666666666,0.25
A12_FL,A,income,high,12,-0.620581317790973,-0.09840071098322767,-3.8090792765628962,1.7040741403292332,0.4166666666666667,0.5833333333333334,0.3333333333333333
A12_FL,A,income,low,31,-7.560840122968911,-5.8923802950475945,-17.616800284897153,0.7865229465952268,0.16129032258064516,0.8387096774193549,0.12903225806451613
A12_FL,A,income,middle,24,-3.7239185760967466,-2.840778555144489,-9.960656722221337,1.9101249919642425,0.3333333333333333,0.6666666666666666,0.375
A12_FL,A,age,25-44,26,-5.131393459182795,-3.2442848154976147,-13.731944353334859,1.7430201934976708,0.2692307692307692,0.7307692307692307,0.2307692307692308
A12_FL,A,age,45-64,19,-6.686422065371004,-4.72485069521197,-17.94991849483882,1.9821767892975732,0.21052631578947367,0.7894736842105263,0.21052631578947367
A12_FL,A,age,65+,10,-0.9775225156746529,-0.005772218371774329,-4.3182778476581305,0.9870500769288636,0.5,0.5,0.2
A12_FL,A,age,<25,12,-5.0811325928584585,-2.37471605458866,-12.880477342099905,0.3049337610257455,0.16666666666666666,0.8333333333333334,0.4166666666666667
A12_FL,A,gender,f,31,-3.837652750200653,-3.0674873767030983,-13.18059166993007,1.9531571818393871,0.3225806451612903,0.6774193548387096,0.1935483870967742
A12_FL,A,gender,m,36,-5.895550838767488,-3.0175759939390048,-17.146914567096342,1.2230907823704626,0.2222222222222222,0.7777777777777778,0.3055555555555556
A12_FL,A,car_availability,always,61,-5.0238815051779415,-3.0674873767030983,-15.134050989813332,1.7458891106631995,0.2786885245901639,0.7213114754098361,0.2295081967213115
A12_FL,A,car_availability,never,6,-4.1250489393325696,-1.8031341764015492,-11.934597370459265,1.3625847288631048,0.16666666666666666,0.8333333333333334,0.5
A12_FL,A,employment,false,19,-4.981163248876487,-1.6814333977830669,-16.864983136415848,1.130464122361467,0.3157894736842105,0.6842105263157895,0.2631578947368421
A12_FL,A,employment,true,48,-4.9284367442332595,-3.6497757032956737,-14.468587411320069,1.7650373421409116,0.25,0.75,0.25
A4_FH,A,income,high,12,-0.4049512730194979,-0.2296630958909489,-1.9447282124721923,1.6970652668892998,0.4166666666666667,0.5833333333333334,0.16666666666666666
A4_FH,A,income,low,31,-6.9239994547328605,-4.842027082012464,-19.01651059687065,0.3597183189300779,0.16129032258064516,0.8387096774193549,0.12903225806451613
A4_FH,A,income,middle,24,-3.9134996835335225,-2.3037428281846104,-11.942113840195232,0.6258543379392248,0.25,0.75,0.20833333333333331
A4_FH,A,age,25-44,26,-5.905083875573897,-4.1403800571155935,-13.964913863382675,0.3083019225178489,0.19230769230769232,0.8076923076923077,0.15384615384615385
