scenario,case,scenario_effective_mode,transition_class,trips,share_of_original_target_bus_trips
A4_FL,A,DRT_CONTAINING,target_bus_to_DRT,18,0.20454545454545456
A4_FL,A,bike,target_bus_to_bike,2,0.022727272727272728
A4_FL,A,car,target_bus_to_car,14,0.1590909090909091
A4_FL,A,pt,target_bus_to_other_PT,40,0.4545454545454545
A4_FL,A,ride,target_bus_to_other,12,0.13636363636363635
A4_FL,A,walk,target_bus_to_walk,2,0.022727272727272728
A8_FL,A,DRT_CONTAINING,target_bus_to_DRT,17,0.19318181818181815
A8_FL,A,car,target_bus_to_car,16,0.18181818181818185
A8_FL,A,pt,target_bus_to_other_PT,38,0.4318181818181818
A8_FL,A,ride,target_bus_to_other,14,0.1590909090909091
A8_FL,A,walk,target_bus_to_walk,3,0.03409090909090909
A12_FL,A,DRT_CONTAINING,target_bus_to_DRT,16,0.18181818181818185
A12_FL,A,car,target_bus_to_car,16,0.18181818181818185
A12_FL,A,pt,target_bus_to_other_PT,36,0.4090909090909091
A12_FL,A,ride,target_bus_to_other,18,0.20454545454545456
A12_FL,A,walk,target_bus_to_walk,2,0.022727272727272728
A4_FH,A,DRT_CONTAINING,target_bus_to_DRT,12,0.13636363636363635
A4_FH,A,bike,target_bus_to_bike,2,0.022727272727272728
A4_FH,A,car,target_bus_to_car,21,0.23863636363636365
A4_FH,A,pt,target_bus_to_other_PT,42,0.4772727272727273
A4_FH,A,ride,target_bus_to_other,10,0.11363636363636365
A4_FH,A,walk,target_bus_to_walk,1,0.011363636363636364
A8_FH,A,DRT_CONTAINING,target_bus_to_DRT,14,0.1590909090909091
A8_FH,A,car,target_bus_to_car,14,0.1590909090909091
A8_FH,A,pt,target_bus_to_other_PT,39,0.4431818181818182
A8_FH,A,ride,target_bus_to_other,20,0.2272727272727273
A8_FH,A,walk,target_bus_to_walk,1,0.011363636363636364
A12_FH,A,DRT_CONTAINING,target_bus_to_DRT,11,0.125
A12_FH,A,car,target_bus_to_car,15,0.17045454545454544
A12_FH,A,pt,target_bus_to_other_PT,41,0.4659090909090909
A12_FH,A,ride,target_bus_to_other,19,0.2159090909090909
A12_FH,A,walk,target_bus_to_walk,2,0.022727272727272728
A8_FM,A,DRT_CONTAINING,target_bus_to_DRT,50,0.5681818181818182
A8_FM,A,bike,target_bus_to_bike,1,0.011363636363636364
A8_FM,A,car,target_bus_to_car,11,0.125
A8_FM,A,pt,target_bus_to_other_PT,10,0.11363636363636365
A8_FM,A,ride,target_bus_to_other,15,0.17045454545454544
A8_FM,A,walk,target_bus_to_walk,1,0.011363636363636364
A8_SUB1,A,DRT_CONTAINING,target_bus_to_DRT,34,0.3863636363636364
A8_SUB1,A,car,target_bus_to_car,10,0.11363636363636365
A8_SUB1,A,pt,target_bus_to_other_PT,25,0.2840909090909091
A8_SUB1,A,ride,target_bus_to_other,17,0.19318181818181815
A8_SUB1,A,walk,target_bus_to_walk,2,0.022727272727272728
B6_PTI,B,DRT_CONTAINING,target_bus_to_DRT,33,0.4714285714285714
B6_PTI,B,car,target_bus_to_car,9,0.12857142857142856
B6_PTI,B,pt,target_bus_to_other_PT,18,0.2571428571428571
B6_PTI,B,ride,target_bus_to_other,9,0.12857142857142856
B6_PTI,B,walk,target_bus_to_walk,1,0.014285714285714284
C22_PTI,C,DRT_CONTAINING,target_bus_to_DRT,433,0.23635371179039305
C22_PTI,C,bike,target_bus_to_bike,100,0.05458515283842795
C22_PTI,C,car,target_bus_to_car,418,0.22816593886462885
C22_PTI,C,pt,target_bus_to_other_PT,587,0.32041484716157204
C22_PTI,C,ride,target_bus_to_other,228,0.12445414847161572
C22_PTI,C,walk,target_bus_to_walk,66,0.03602620087336245
