scenario,case,hour,compared_trips,target_line_trips,drt_containing_trips,mean_delta_journey_min,drt_wait_mean_min,drt_wait_p95_min
A4_FL,A,2,1,1,0,-56.6,,
A4_FL,A,3,1,1,1,-6.2333333333333325,13.5,13.5
A4_FL,A,4,1,1,0,6.166666666666668,,
A4_FL,A,5,12,10,4,-1.6152777777777778,26.21666666666667,36.739166666666655
A4_FL,A,6,14,7,1,-0.6476190476190468,3.716666666666667,3.716666666666667
A4_FL,A,7,22,13,5,-0.042424242424242274,26.51,49.20333333333333
A4_FL,A,8,13,9,1,-7.667948717948718,1.15,1.15
A4_FL,A,9,6,2,1,-20.258333333333333,17.85,17.85
A4_FL,A,10,7,2,0,2.280952380952381,,
A4_FL,A,11,12,3,0,-1.5874999999999997,,
A4_FL,A,12,18,4,0,-2.537962962962963,,
A4_FL,A,13,13,6,4,-11.992307692307689,24.062500000000004,51.34666666666666
A4_FL,A,14,21,3,2,-9.30873015873016,9.108333333333334,10.525833333333333
A4_FL,A,15,31,5,3,-2.7408602150537638,18.166666666666668,28.78666666666667
A4_FL,A,16,22,10,4,-4.140151515151515,14.379166666666665,36.45083333333332
A4_FL,A,17,21,7,3,-2.253174603174603,14.988888888888885,30.395
A4_FL,A,18,20,2,1,-3.0308333333333333,14.816666666666665,14.816666666666665
A4_FL,A,19,6,2,0,-5.033333333333333,,
A4_FL,A,20,5,0,0,-2.2233333333333336,,
A4_FL,A,21,4,0,0,0.06666666666666668,,
A8_FL,A,2,1,1,0,-144.36666666666667,,
A8_FL,A,3,1,1,1,-5.4,13.5,13.5
A8_FL,A,4,1,1,0,6.166666666666668,,
A8_FL,A,5,12,10,4,-0.7388888888888884,27.3625,40.8925
A8_FL,A,6,14,7,1,-6.039285714285714,27.95,27.95
A8_FL,A,7,21,13,3,-6.03888888888889,28.66111111111111,48.87
A8_FL,A,8,13,9,1,3.0551282051282067,1.15,1.15
A8_FL,A,9,7,2,2,-17.571428571428573,12.016666666666666,17.251666666666665
A8_FL,A,10,7,2,0,-0.04761904761904745,,
A8_FL,A,11,13,3,1,-8.366666666666665,1.0166666666666666,1.0166666666666666
A8_FL,A,12,18,4,0,-1.914814814814815,,
A8_FL,A,13,13,6,2,-12.811538461538465,20.808333333333334,30.20583333333333
A8_FL,A,14,21,3,3,-6.061111111111112,13.45,18.511666666666667
A8_FL,A,15,30,5,2,-3.93,23.0,25.85
A8_FL,A,16,22,10,3,-5.462878787878788,5.6111111111111125,7.686666666666667
A8_FL,A,17,20,7,4,-7.171666666666668,20.65,31.52
A8_FL,A,18,20,2,1,0.4841666666666668,19.766666666666666,19.766666666666666
A8_FL,A,19,6,2,0,2.5277777777777786,,
A8_FL,A,20,5,0,0,-1.3033333333333332,,
A8_FL,A,21,4,0,0,-82.46666666666667,,
A12_FL,A,2,1,1,0,-146.08333333333334,,
A12_FL,A,3,1,1,0,-34.65,,
A12_FL,A,4,1,1,0,6.166666666666668,,
A12_FL,A,5,12,10,4,-1.224999999999999,28.85,40.52
A12_FL,A,6,13,7,1,-13.862820512820518,21.95,21.95
A12_FL,A,7,21,13,5,-1.885714285714286,25.25666666666667,37.53
A12_FL,A,8,13,9,1,-10.567948717948717,1.15,1.15
A12_FL,A,9,6,2,0,-20.141666666666666,,
A12_FL,A,10,7,2,0,6.095238095238094,,
A12_FL,A,11,12,3,0,-8.598611111111111,,
A12_FL,A,12,17,4,0,-7.351960784313724,,
A12_FL,A,13,13,6,2,-12.95,29.1,45.03
A12_FL,A,14,21,3,3,-6.659523809523808,11.044444444444444,12.611666666666668
A12_FL,A,15,30,5,2,-6.849999999999999,22.58333333333333,26.97833333333333
A12_FL,A,16,21,10,3,-4.178571428571428,16.75,37.50666666666667
A12_FL,A,17,19,7,3,-4.242105263157893,26.45555555555555,45.87333333333333
A12_FL,A,18,19,2,0,-5.349122807017544,,
A12_FL,A,19,6,2,0,-2.9111111111111114,,
A12_FL,A,20,5,0,0,0.2433333333333333,,
A12_FL,A,21,4,0,0,0.0,,
A4_FH,A,2,1,1,0,-56.6,,
A4_FH,A,3,1,1,1,-5.233333333333333,13.5,13.5
A4_FH,A,4,1,1,0,6.166666666666668,,
A4_FH,A,5,12,10,3,2.993055555555556,27.20555555555556,41.42666666666667
A4_FH,A,6,13,7,0,-14.978205128205131,,
A4_FH,A,7,21,13,1,-2.6984126984126977,5.45,5.45
A4_FH,A,8,13,9,1,-9.596153846153848,1.15,1.15
A4_FH,A,9,6,2,1,-24.54444444444444,3.8,3.8
A4_FH,A,10,7,2,0,4.428571428571429,,
A4_FH,A,11,12,3,0,-2.99861111111111,,
A4_FH,A,12,17,4,0,-7.501960784313725,,
A4_FH,A,13,13,6,2,-8.307692307692307,8.783333333333333,11.138333333333335
A4_FH,A,14,21,3,1,-5.351587301587301,30.216666666666665,30.216666666666665
A4_FH,A,15,30,5,2,-5.6288888888888895,13.875,25.4475
A4_FH,A,16,21,10,1,-3.8174603174603177,5.933333333333334,5.933333333333334
A4_FH,A,17,19,7,3,-5.2368421052631575,12.005555555555556,20.28
A4_FH,A,18,19,2,0,-0.2385964912280701,,
A4_FH,A,19,6,2,0,-1.7472222222222225,,
A4_FH,A,20,5,0,0,-1.58,,
A4_FH,A,21,4,0,0,-82.19166666666666,,
A8_FH,A,2,1,1,0,-146.76666666666668,,
A8_FH,A,3,1,1,1,-6.2333333333333325,13.5,13.5
A8_FH,A,4,1,1,0,-5.816666666666666,,
A8_FH,A,5,12,10,4,5.154166666666666,22.57083333333333,36.454166666666666
A8_FH,A,6,13,7,0,-8.558974358974357,,
A8_FH,A,7,21,13,1,0.10476190476190576,23.53333333333333,23.53333333333333
A8_FH,A,8,13,9,1,-12.32051282051282,1.15,1.15
A8_FH,A,9,6,2,1,-22.461111111111112,7.7666666666666675,7.7666666666666675
A8_FH,A,10,7,2,0,6.342857142857143,,
A8_FH,A,11,12,3,0,-8.85,,
A8_FH,A,12,17,4,0,-7.087254901960782,,
A8_FH,A,13,13,6,3,-10.075641025641023,11.45,17.156666666666666
A8_FH,A,14,21,3,2,-7.466666666666668,20.558333333333334,27.66083333333333
A8_FH,A,15,30,5,1,-5.6850000000000005,20.6,20.6
A8_FH,A,16,21,10,1,-3.634126984126984,3.033333333333333,3.033333333333333
A8_FH,A,17,19,7,3,-6.181578947368423,16.522222222222222,24.445
A8_FH,A,18,19,2,0,1.1552631578947368,,
A8_FH,A,19,6,2,0,0.1583333333333332,,
A8_FH,A,20,5,0,0,-4.866666666666667,,
A8_FH,A,21,4,0,0,0.06666666666666668,,
A12_FH,A,2,1,1,0,-146.76666666666668,,
A12_FH,A,3,1,1,1,-6.2333333333333325,13.5,13.5
A12_FH,A,4,1,1,0,-0.3,,
A12_FH,A,5,12,10,2,-0.9111111111111114,25.416666666666664,36.876666666666665
A12_FH,A,6,13,7,0,-8.091025641025642,,
A12_FH,A,7,21,13,1,-3.617460317460317,24.966666666666665,24.966666666666665
A12_FH,A,8,13,9,1,-1.5807692307692316,1.15,1.15
A12_FH,A,9,6,2,1,-17.566666666666666,34.11666666666667,34.11666666666667
A12_FH,A,10,7,2,0,1.2761904761904763,,
A12_FH,A,11,12,3,0,-8.475,,
A12_FH,A,12,17,4,0,-7.551960784313724,,
A12_FH,A,13,13,6,2,-9.998717948717948,22.93333333333333,30.52333333333333
A12_FH,A,14,21,3,1,-4.765079365079365,5.9833333333333325,5.9833333333333325
A12_FH,A,15,30,5,1,-7.9288888888888875,14.983333333333333,14.983333333333333
A12_FH,A,16,21,10,2,-2.1507936507936503,21.93333333333333,38.98833333333333
A12_FH,A,17,19,7,2,-0.3271929824561401,14.741666666666665,24.499166666666664
A12_FH,A,18,19,2,1,-1.3728070175438594,12.933333333333335,12.933333333333335
A12_FH,A,19,6,2,0,-3.9194444444444447,,
A12_FH,A,20,5,0,0,-4.256666666666666,,
A12_FH,A,21,4,0,0,-82.475,,
A8_FM,A,2,1,1,0,-146.76666666666668,,
A8_FM,A,3,1,1,1,-8.633333333333333,10.4,10.4
A8_FM,A,4,1,1,0,6.166666666666668,,
A8_FM,A,5,15,10,10,-0.3955555555555558,26.09666666666667,45.34833333333332
A8_FM,A,6,16,7,8,-13.589583333333335,24.89583333333333,40.139166666666654
A8_FM,A,7,28,13,18,-0.5309523809523811,17.095370370370375,30.146666666666665
A8_FM,A,8,18,9,9,-17.759259259259263,12.168518518518518,18.89333333333333
A8_FM,A,9,14,2,5,-4.226190476190475,7.1066666666666665,16.20333333333333
A8_FM,A,10,13,2,6,-1.8679487179487184,12.194444444444445,28.125
A8_FM,A,11,18,3,6,-4.530555555555555,1.5,3.1916666666666664
A8_FM,A,12,22,4,6,-5.337878787878787,6.0777777777777775,12.245833333333335
A8_FM,A,13,20,6,13,-8.580833333333334,13.7,39.55666666666664
A8_FM,A,14,27,3,12,0.753086419753087,9.615277777777779,22.454999999999995
A8_FM,A,15,36,5,14,-6.847222222222222,16.671428571428574,36.47333333333333
A8_FM,A,16,27,10,14,-6.779012345679012,12.655952380952382,43.9875
A8_FM,A,17,25,7,7,-0.7479999999999997,18.121428571428574,34.46166666666666
A8_FM,A,18,24,2,8,-0.015277777777777612,13.89375,26.40083333333333
A8_FM,A,19,8,2,3,-0.30000000000000004,12.205555555555556,26.826666666666664
A8_FM,A,20,5,0,3,-3.3200000000000003,11.044444444444444,14.138333333333335
A8_FM,A,21,4,0,0,0.30416666666666664,,
A8_SUB1,A,2,1,1,0,-146.08333333333334,,
A8_SUB1,A,3,1,1,1,-6.2333333333333325,13.5,13.5
A8_SUB1,A,4,1,1,0,6.166666666666668,,
A8_SUB1,A,5,12,10,5,1.7694444444444442,29.84333333333333,41.35333333333333
