scenario,case,role,target_riders::mean_delta_score,target_riders::share_better,target_riders::share_worse,target_trips::mean_delta_journey_min,target_trips::scenario_wait_p95_min,drt::rejection_rate,drt::served_requests,drt::sharing_factor,drt::pooling_rate,drt::drt_total_vkt_km,drt::drt_empty_vkt_km,drt::empty_vkt_share,drt::served_requests_per_vehicle,resource::DRT_VKT_to_removed_bus_VKT_ratio,target_transition_share::target_bus_to_DRT,target_transition_share::target_bus_to_car,drt_origin_share::car_to_DRT,drt_origin_share::active_mode_to_DRT,network::delta_road_vkt_km,network::delta_road_delay_h
A4_FL,A,caseA_design,-4.811333762714763,0.26865671641791045,0.7313432835820896,-6.117992424242425,47.23166666666666,0.0,28.15,1.2638922064507492,0.3588478379857689,223.1134905,47.895807,0.21467015236355688,7.0375,0.23521856475675706,0.20454545454545456,0.1590909090909091,0.1,,,
A8_FL,A,caseA_design,-4.553773099604408,0.29850746268656714,0.7014925373134329,-9.53768939393939,41.7175,0.0,26.7,1.4591993630713975,0.4405219780219781,141.93512900000005,22.913897500000008,0.16143922693021268,3.3375,0.14963585239568997,0.19318181818181815,0.18181818181818185,,,,
A12_FL,A,caseA_design,-4.943389036594773,0.26865671641791045,0.7313432835820896,-11.571401515151514,40.05083333333333,0.0,24.0,1.6843646687516078,0.5416666666666666,129.63970600000002,24.530294999999995,0.18921899591472385,2.0,0.13667333836457526,0.18181818181818185,0.18181818181818185,,,,
A4_FH,A,caseA_design,-4.678020757876972,0.2388059701492537,0.7611940298507462,-9.28617424242424,41.81499999999999,0.0,16.15,1.1113710306561762,0.14154411764705882,145.83587200000005,30.0624125,0.2061386686809127,4.0375,0.15374823111330485,0.13636363636363635,0.23863636363636365,,,,
A8_FH,A,caseA_design,-4.817547915153824,0.26865671641791045,0.7313432835820896,-11.057196969696967,40.79666666666665,0.0,18.0,1.080074487895717,0.11111111111111112,141.93913700000002,21.86592199999999,0.15405139457766318,2.25,0.14964007785066102,0.1590909090909091,0.1590909090909091,,,,
A12_FH,A,caseA_design,-5.622703814969231,0.2537313432835821,0.746268656716418,-8.679166666666665,46.11166666666664,0.0,15.0,1.1619491883355022,0.26666666666666666,101.80014400000003,7.298339999999999,0.07169282589619909,1.25,0.10732333446108316,0.125,0.17045454545454544,,,,
A8_FM,A,structural_control,-5.337024017305106,0.2835820895522388,0.7164179104477612,-14.96950757575758,37.38166666666665,0.0,146.45,1.7127427077035038,0.5867917555103361,847.1363275,174.95174300000005,0.2065213559148188,18.30625,0.8930979057398598,0.5681818181818182,0.125,0.17482517482517482,0.13986013986013987,-41669.22036913037,-1537.1862695959862
A8_SUB1,A,policy_sensitivity,-3.8358389233649097,0.2835820895522388,0.7164179104477612,-10.219696969696964,40.73666666666666,0.0,68.0,1.647845291293086,0.5022058823529412,507.128027,92.51805650000004,0.1824353054342233,8.5,0.5346423759116705,0.3863636363636364,0.11363636363636365,0.10294117647058823,,,
B6_PTI,B,structural_robustness,-7.1596585638852135,0.1914893617021277,0.8085106382978723,-6.5121428571428535,52.62833333333332,0.0,50.45,1.2625583377222356,0.2983769507803121,305.12475100000006,58.027331999999994,0.19017576191319852,8.408333333333333,0.42536145830819844,0.4714285714285714,0.12857142857142856,0.04,,-38768.67601824552,-34.190479585551664
C22_PTI,C,high_demand_contrast,-5.3670114063154895,0.11680672268907565,0.8831932773109243,2.475682314410473,24.04083333333333,0.0,594.7,2.440375693381529,0.8513910029551457,1875.218039,207.3255235,0.11056075570313986,27.031818181818185,1.1187261858837678,0.23635371179039305,0.22816593886462885,0.05723905723905724,0.04208754208754209,-27531.88582704775,1102.8511833556695
