dimension,group,target_bus_trips,share_target_trips_using_drt,share_target_trips_to_car,mean_delta_journey_min,scenario_wait_mean_min,scenario_wait_p95_min,mean_delta_wait_min
income,high,13,0.07692307692307693,0.23076923076923078,0.11794871794871781,5.6,22.65666666666666,-6.962820512820513
income,low,45,0.06666666666666667,0.15555555555555556,-13.36888888888889,13.358888888888892,52.35333333333332,-9.63888888888889
income,middle,30,0.23333333333333334,0.16666666666666666,-5.456666666666667,14.44,40.590833333333336,-1.3094444444444449
age,25-44,33,0.12121212121212122,0.12121212121212122,-12.3510101010101,11.067676767676765,33.70333333333332,-7.52020202020202
age,45-64,26,0.0,0.3076923076923077,-11.593589743589744,11.706410256410257,57.02916666666666,-8.922435897435896
age,65+,15,0.3333333333333333,0.13333333333333333,-3.4444444444444446,15.494444444444444,39.158333333333324,-4.813333333333334
age,<25,14,0.14285714285714285,0.07142857142857142,-0.22023809523809554,14.652380952380952,39.10666666666667,-0.7999999999999992
gender,f,41,0.024390243902439025,0.24390243902439024,-3.721951219512196,15.098373983739837,58.18333333333333,-6.439837398373983
gender,m,47,0.2127659574468085,0.10638297872340426,-13.003546099290782,10.385460992907799,33.29166666666666,-6.3726950354609935
car_availability,always,82,0.13414634146341464,0.18292682926829268,-10.227235772357725,12.48048780487805,47.30166666666668,-6.778048780487802
car_availability,never,6,0.0,0.0,12.47777777777778,13.958333333333334,23.791666666666668,-1.2916666666666667
employment,false,25,0.2,0.08,-6.996666666666665,12.646666666666665,35.29,-7.215333333333333
employment,true,63,0.09523809523809523,0.20634920634920634,-9.346825396825391,12.555291005291005,52.563333333333325,-6.082010582010578
