dimension,group,n,mean_delta_score,median_delta_score,p10_delta_score,p90_delta_score,share_better,share_worse,share_using_drt
income,high,12,-1.9139141878284558,0.061417745442149396,-9.693725207631543,1.5406895048984852,0.5,0.5,0.08333333333333333
income,low,31,-7.9011629380200175,-8.158185717656224,-15.618201468746108,0.30190724141837677,0.12903225806451613,0.8709677419354839,0.0967741935483871
income,middle,24,-4.534088927932352,-2.992538736076412,-13.192053791855297,2.5521618681026657,0.2916666666666667,0.7083333333333334,0.2916666666666667
age,25-44,26,-6.3766040427225334,-4.200426043547225,-13.472886690262442,1.5277805366021084,0.23076923076923078,0.7692307692307693,0.19230769230769232
age,45-64,19,-6.0561374128816245,-3.390610435469469,-16.84070859687413,1.9821767892975735,0.3157894736842105,0.6842105263157895,0.0
age,65+,10,-2.5042364853917105,-1.011106161125852,-8.981823678821051,1.0070455762300212,0.4,0.6,0.3
age,<25,12,-5.901706232790389,-5.280648154221055,-13.673074896853848,-0.14400923224582124,0.08333333333333333,0.9166666666666666,0.25
gender,f,31,-4.327142677146305,-3.390610435469469,-10.823364902982433,1.6767753847270512,0.2903225806451613,0.7096774193548387,0.06451612903225806
gender,m,36,-6.738325905872309,-3.2870622102594282,-14.73824603131252,1.2756694147464813,0.2222222222222222,0.7777777777777778,0.25
car_availability,always,61,-5.739220595736485,-3.8203704066030326,-13.545867317497198,1.6767753847270512,0.2786885245901639,0.7213114754098361,0.16393442622950818
car_availability,never,6,-4.438116543835498,-0.8011194662404861,-12.29384224731109,-0.21938791795491852,0.0,1.0,0.16666666666666666
employment,false,19,-6.57212667375197,-1.681433397783067,-18.248637296767868,0.7560740763594251,0.21052631578947367,0.7894736842105263,0.21052631578947367
employment,true,48,-5.246890600034399,-3.944099024494271,-13.443694439368539,2.033385707250329,0.2708333333333333,0.7291666666666666,0.14583333333333334
