b0_effective_mode,scenario_effective_mode,transition_class,trips,share_of_compared_relevant_trips
TARGET_BUS,DRT_CONTAINING,target_bus_to_DRT,16,0.06611570247933884
TARGET_BUS,car,target_bus_to_car,16,0.06611570247933884
TARGET_BUS,pt,target_bus_to_other_PT,36,0.1487603305785124
TARGET_BUS,ride,target_bus_to_other,18,0.0743801652892562
TARGET_BUS,walk,target_bus_to_walk,2,0.008264462809917356
bike,bike,other_transition,2,0.008264462809917356
car,car,other_transition,2,0.008264462809917356
pt,DRT_CONTAINING,other_PT_to_DRT,8,0.03305785123966942
pt,car,other_transition,7,0.028925619834710745
pt,pt,other_transition,52,0.21487603305785125
pt,ride,other_transition,8,0.03305785123966942
pt,walk,other_transition,2,0.008264462809917356
ride,bike,other_transition,2,0.008264462809917356
ride,car,other_transition,1,0.004132231404958678
ride,pt,other_transition,1,0.004132231404958678
ride,ride,other_transition,12,0.049586776859504134
ride,walk,other_transition,1,0.004132231404958678
walk,car,other_transition,6,0.024793388429752067
walk,ride,other_transition,1,0.004132231404958678
walk,walk,other_transition,49,0.2024793388429752
