source,mode,trips,share
B0,bike,269312,0.14798639223273655
B0,car,504496,0.2772195183870257
B0,freight,5459,0.002999709315583817
B0,pt,392980,0.21594170486135342
B0,ride,125280,0.06884110332594624
B0,truck,29528,0.016225575502941736
B0,walk,492788,0.27078599637441253
A12_FL,bike,268250,0.14740258241631435
A12_FL,car,503603,0.27672836053160543
A12_FL,freight,5459,0.0029997043705895995
A12_FL,pt,395099,0.217105733122473
A12_FL,pt_w_drt_used,24,1.318792908850529e-05
A12_FL,ride,124074,0.06817829640530022
A12_FL,truck,29528,0.016225548755224344
A12_FL,walk,493809,0.27134658646940457
