dimension,group,n,mean_delta_score,median_delta_score,p10_delta_score,p90_delta_score,share_better,share_worse,share_using_drt
income,high,12,-1.031816221050762,-0.3858840940185999,-5.243784217383468,2.727797217155734,0.4166666666666667,0.5833333333333334,0.25
income,low,31,-6.4164300096989635,-6.6665284364170105,-16.8540295968465,1.6177253379168235,0.1935483870967742,0.8064516129032258,0.1935483870967742
income,middle,24,-4.627843214525504,-3.0460138778205206,-12.715843076743266,1.4904475345082155,0.2916666666666667,0.7083333333333334,0.375
age,25-44,26,-5.951697229160857,-4.6944754918692695,-14.365655239642436,0.7576116064807934,0.19230769230769232,0.8076923076923077,0.2692307692307692
age,45-64,19,-4.831933601786079,-2.481497332125528,-16.287584736353413,2.8549839950687157,0.3684210526315789,0.631578947368421,0.15789473684210525
age,65+,10,-1.3073486741770566,-1.0025645489095112,-6.709741392313005,1.5414389880699124,0.4,0.6,0.4
age,<25,12,-5.227917414000061,-6.129843741529527,-13.003776230693115,1.8422973749761204,0.16666666666666666,0.8333333333333334,0.3333333333333333
gender,f,31,-4.430117395464749,-4.85307855667277,-10.875123925143527,1.6177253379168235,0.25806451612903225,0.7419354838709677,0.1935483870967742
gender,m,36,-5.139603412291162,-2.803458916904532,-16.40420317827902,2.4521371093724085,0.2777777777777778,0.7222222222222222,0.3333333333333333
car_availability,always,61,-4.782921807238194,-3.067487376703099,-13.188236114374547,1.7458891106631995,0.2786885245901639,0.7213114754098361,0.26229508196721313
car_availability,never,6,-5.100188643393217,-4.770310720152715,-11.472237681436773,0.9419824714098368,0.16666666666666666,0.8333333333333334,0.3333333333333333
employment,false,19,-5.256667812770696,-2.113444991595472,-16.52919213702921,1.4195957585128975,0.2631578947368421,0.7368421052631579,0.3157894736842105
employment,true,48,-4.635055701234289,-3.504046652979369,-12.270567452019222,2.0731918128273823,0.2708333333333333,0.7291666666666666,0.25
