b0_effective_mode,scenario_effective_mode,transition_class,trips,share_of_compared_relevant_trips
TARGET_BUS,DRT_CONTAINING,target_bus_to_DRT,14,0.05785123966942149
TARGET_BUS,car,target_bus_to_car,14,0.05785123966942149
TARGET_BUS,pt,target_bus_to_other_PT,39,0.16115702479338842
TARGET_BUS,ride,target_bus_to_other,20,0.08264462809917356
TARGET_BUS,walk,target_bus_to_walk,1,0.004132231404958678
bike,car,other_transition,2,0.008264462809917356
car,car,other_transition,2,0.008264462809917356
pt,DRT_CONTAINING,other_PT_to_DRT,4,0.01652892561983471
pt,car,other_transition,11,0.045454545454545456
pt,pt,other_transition,58,0.2396694214876033
pt,ride,other_transition,3,0.012396694214876033
pt,walk,other_transition,1,0.004132231404958678
ride,car,other_transition,3,0.012396694214876033
ride,pt,other_transition,2,0.008264462809917356
ride,ride,other_transition,12,0.049586776859504134
walk,car,other_transition,3,0.012396694214876033
walk,ride,other_transition,5,0.02066115702479339
walk,walk,other_transition,48,0.19834710743801653
