source,mode,trips,share
B0,bike,269312,0.14798639223273655
B0,car,504496,0.2772195183870257
B0,freight,5459,0.002999709315583817
B0,pt,392980,0.21594170486135342
B0,ride,125280,0.06884110332594624
B0,truck,29528,0.016225575502941736
B0,walk,492788,0.27078599637441253
A8_FH,bike,268468,0.14752204852048245
A8_FH,car,503172,0.2764909195812842
A8_FH,freight,5459,0.002999697777289337
A8_FH,pt,395433,0.2172887875374344
A8_FH,pt_w_drt_used,18,9.890925076242547e-06
A8_FH,ride,124198,0.06824628403439843
A8_FH,truck,29526,0.016224414100063193
A8_FH,walk,493576,0.27121795752397176
