hour,compared_trips,target_line_trips,drt_containing_trips,mean_delta_journey_min,drt_wait_mean_min,drt_wait_p95_min
2,1,1,0,-146.76666666666668,,
3,1,1,1,-6.233333333333333,13.5,13.5
4,1,1,0,-5.816666666666666,,
5,12,10,4,5.154166666666666,22.570833333333333,36.454166666666666
6,13,7,0,-8.558974358974357,,
7,21,13,1,0.10476190476190575,23.533333333333335,23.533333333333335
8,13,9,1,-12.32051282051282,1.15,1.15
9,6,2,1,-22.46111111111111,7.766666666666667,7.766666666666667
10,7,2,0,6.3428571428571425,,
11,12,3,0,-8.85,,
12,17,4,0,-7.087254901960783,,
13,13,6,3,-10.075641025641024,11.450000000000001,17.156666666666666
14,21,3,2,-7.466666666666667,20.558333333333334,27.66083333333333
15,30,5,1,-5.6850000000000005,20.6,20.6
16,21,10,1,-3.634126984126984,3.033333333333333,3.033333333333333
17,19,7,3,-6.181578947368422,16.522222222222222,24.445
18,19,2,0,1.1552631578947368,,
19,6,2,0,0.15833333333333321,,
20,5,0,0,-4.866666666666667,,
21,4,0,0,0.06666666666666667,,
