dimension,group,target_bus_trips,share_target_trips_using_drt,share_target_trips_to_car,mean_delta_journey_min,scenario_wait_mean_min,scenario_wait_p95_min,mean_delta_wait_min
income,high,13,0.15384615384615385,0.07692307692307693,2.582051282051282,7.685897435897435,28.519999999999968,-4.8769230769230765
income,low,45,0.1111111111111111,0.24444444444444444,-12.488148148148147,13.661851851851853,52.9933333333333,-9.335925925925926
income,middle,30,0.3333333333333333,0.13333333333333333,-10.363888888888887,11.252222222222224,31.460833333333316,-4.497222222222222
age,25-44,33,0.24242424242424243,0.30303030303030304,-15.5530303030303,9.963636363636363,28.516666666666666,-8.624242424242421
age,45-64,26,0.07692307692307693,0.19230769230769232,-9.262179487179488,13.632051282051284,58.09166666666666,-6.996794871794871
age,65+,15,0.3333333333333333,0.0,-6.762222222222222,12.665555555555557,24.559999999999988,-7.6422222222222205
age,<25,14,0.14285714285714285,0.07142857142857142,1.1559523809523804,12.789285714285715,35.73916666666667,-2.663095238095238
gender,f,41,0.024390243902439025,0.14634146341463414,-7.669918699186994,12.492276422764226,52.13333333333333,-9.045934959349593
gender,m,47,0.3404255319148936,0.2127659574468085,-11.167021276595746,11.491134751773048,32.84333333333331,-5.267021276595744
car_availability,always,82,0.1951219512195122,0.1951219512195122,-9.824593495934957,12.195731707317075,42.002500000000005,-7.062804878048778
car_availability,never,6,0.16666666666666666,0.0,-5.616666666666667,8.702777777777778,22.7375,-6.547222222222222
employment,false,25,0.24,0.0,-4.335333333333333,14.859333333333334,37.253333333333316,-5.002666666666666
employment,true,63,0.1746031746031746,0.25396825396825395,-11.602116402116401,10.806084656084655,41.95499999999999,-7.831216931216928
