hour,compared_trips,target_line_trips,drt_containing_trips,mean_delta_journey_min,drt_wait_mean_min,drt_wait_p95_min
2,1,1,0,-144.36666666666667,,
3,1,1,1,-5.4,13.5,13.5
4,1,1,0,6.166666666666667,,
5,12,10,4,-0.7388888888888884,27.362499999999997,40.8925
6,14,7,1,-6.039285714285714,27.95,27.95
7,21,13,3,-6.03888888888889,28.66111111111111,48.87
8,13,9,1,3.0551282051282067,1.15,1.15
9,7,2,2,-17.571428571428573,12.016666666666666,17.251666666666665
10,7,2,0,-0.04761904761904745,,
11,13,3,1,-8.366666666666665,1.0166666666666666,1.0166666666666666
12,18,4,0,-1.914814814814815,,
13,13,6,2,-12.811538461538463,20.808333333333334,30.205833333333334
14,21,3,3,-6.061111111111111,13.450000000000001,18.511666666666663
15,30,5,2,-3.93,23.0,25.85
16,22,10,3,-5.462878787878787,5.611111111111112,7.686666666666667
17,20,7,4,-7.171666666666667,20.65,31.519999999999996
18,20,2,1,0.48416666666666675,19.766666666666666,19.766666666666666
19,6,2,0,2.5277777777777786,,
20,5,0,0,-1.3033333333333332,,
21,4,0,0,-82.46666666666667,,
