dimension,group,target_bus_trips,share_target_trips_using_drt,share_target_trips_to_car,mean_delta_journey_min,scenario_wait_mean_min,scenario_wait_p95_min,mean_delta_wait_min
income,high,13,0.6153846153846154,0.0,-0.7756410256410257,12.537179487179486,27.273333333333316,-0.02564102564102524
income,low,45,0.4888888888888889,0.15555555555555556,-20.171111111111113,12.27666666666667,40.50333333333332,-10.72111111111111
income,middle,30,0.6666666666666666,0.13333333333333333,-13.317777777777776,13.21611111111111,34.72666666666666,-2.533333333333333
age,25-44,33,0.3939393939393939,0.24242424242424243,-19.64343434343434,9.884848484848487,33.019999999999996,-8.703030303030301
age,45-64,26,0.6153846153846154,0.0,-11.706410256410258,16.04615384615385,47.2875,-4.582692307692308
age,65+,15,0.8666666666666667,0.13333333333333333,-17.371111111111112,11.188888888888892,30.395,-9.118888888888888
age,<25,14,0.5714285714285714,0.07142857142857142,-7.439285714285715,14.33452380952381,39.160833333333336,-1.1178571428571433
gender,f,41,0.4634146341463415,0.17073170731707318,-15.326829268292673,13.184552845528456,41.1,-8.353658536585366
gender,m,47,0.6595744680851063,0.0851063829787234,-14.657801418439718,12.156382978723402,33.28833333333331,-4.60177304964539
car_availability,always,82,0.5487804878048781,0.13414634146341464,-15.94044715447155,12.395731707317074,35.93750000000001,-6.862804878048781
car_availability,never,6,0.8333333333333334,0.0,-1.7,15.911111111111111,33.77916666666667,0.6611111111111109
employment,false,25,0.8,0.08,-15.911999999999999,11.972000000000001,30.553333333333335,-7.889999999999999
employment,true,63,0.47619047619047616,0.14285714285714285,-14.595502645502641,12.898677248677247,40.59166666666666,-5.738624338624339
