dimension,group,n,mean_delta_score,median_delta_score,p10_delta_score,p90_delta_score,share_better,share_worse,share_using_drt
income,high,12,-0.11182791195721838,-0.045055064386843924,-2.22958647440644,2.0871011720369,0.5,0.5,0.6666666666666666
income,low,31,-9.003070962150877,-7.321907259020989,-20.902603237832267,3.888785933850869,0.1935483870967742,0.8064516129032258,0.5161290322580645
income,middle,24,-3.2143114328865994,-2.033954514556079,-11.06092675449617,4.64418547686752,0.2916666666666667,0.7083333333333334,0.6666666666666666
age,25-44,26,-6.633856452882032,-6.2950392602093075,-16.91596783424854,1.893653307134585,0.23076923076923078,0.7692307692307693,0.46153846153846156
age,45-64,19,-6.195194366096672,-2.2805968386614808,-20.548015980015798,3.996975650771349,0.3157894736842105,0.6842105263157895,0.631578947368421
age,65+,10,-4.4375761420141675,-3.064648434384182,-17.416480641817042,5.298731289510075,0.3,0.7,0.9
age,<25,12,-1.9179905840442462,-1.128764279211751,-8.09283950864557,1.999407661524244,0.3333333333333333,0.6666666666666666,0.5833333333333334
gender,f,31,-5.085006844573931,-2.593557012395266,-16.476199119570722,3.888785933850869,0.2903225806451613,0.7096774193548387,0.5161290322580645
gender,m,36,-5.554038804934734,-2.4987086332400565,-19.129169893379313,3.270132873997696,0.2777777777777778,0.7222222222222222,0.6666666666666666
car_availability,always,61,-5.925012369098869,-3.4145014303191488,-17.35573654892636,3.888785933850869,0.26229508196721313,0.7377049180327869,0.5737704918032787
car_availability,never,6,0.6408575592648234,-0.1152228132509876,-1.2735222610768133,3.311317752122271,0.5,0.5,0.8333333333333334
employment,false,19,-4.924331371947488,-1.969995684491792,-17.803827596929846,4.604020722309695,0.3157894736842105,0.6842105263157895,0.7894736842105263
employment,true,48,-5.500381522759166,-2.7778514321863668,-16.740060348377412,2.94497689636722,0.2708333333333333,0.7291666666666666,0.5208333333333334
