b0_effective_mode,scenario_effective_mode,transition_class,trips,share_of_compared_relevant_trips
TARGET_BUS,DRT_CONTAINING,target_bus_to_DRT,50,0.15479876160990713
TARGET_BUS,bike,target_bus_to_bike,1,0.0030959752321981426
TARGET_BUS,car,target_bus_to_car,11,0.034055727554179564
TARGET_BUS,pt,target_bus_to_other_PT,10,0.030959752321981424
TARGET_BUS,ride,target_bus_to_other,15,0.04643962848297214
TARGET_BUS,walk,target_bus_to_walk,1,0.0030959752321981426
bike,DRT_CONTAINING,active_mode_to_DRT,8,0.02476780185758514
bike,bike,other_transition,2,0.006191950464396285
car,DRT_CONTAINING,car_to_DRT,25,0.07739938080495357
car,car,other_transition,2,0.006191950464396285
car,pt,other_transition,1,0.0030959752321981426
pt,DRT_CONTAINING,other_PT_to_DRT,41,0.12693498452012383
pt,car,other_transition,2,0.006191950464396285
pt,pt,other_transition,40,0.1238390092879257
pt,ride,other_transition,10,0.030959752321981424
pt,walk,other_transition,1,0.0030959752321981426
ride,DRT_CONTAINING,other_mode_to_DRT,7,0.021671826625386997
ride,bike,other_transition,1,0.0030959752321981426
ride,car,other_transition,2,0.006191950464396285
ride,pt,other_transition,2,0.006191950464396285
ride,ride,other_transition,15,0.04643962848297214
ride,walk,other_transition,1,0.0030959752321981426
walk,DRT_CONTAINING,active_mode_to_DRT,12,0.03715170278637771
walk,car,other_transition,4,0.01238390092879257
walk,ride,other_transition,6,0.018575851393188854
walk,walk,other_transition,53,0.16408668730650156
