source,mode,trips,share
B0,bike,269312,0.14798639223273655
B0,car,504496,0.2772195183870257
B0,freight,5459,0.002999709315583817
B0,pt,392980,0.21594170486135342
B0,ride,125280,0.06884110332594624
B0,truck,29528,0.016225575502941736
B0,walk,492788,0.27078599637441253
A8_FM,bike,268194,0.14737205352329844
A8_FM,car,502871,0.2763265842163308
A8_FM,drt,52,2.8573893462238228e-05
A8_FM,freight,5459,0.002999709315583817
A8_FM,pt,395709,0.21744128477016975
A8_FM,pt_w_drt_used,91,5.000431355891689e-05
A8_FM,ride,124147,0.06821852214724017
A8_FM,truck,29527,0.01622502600499054
A8_FM,walk,493793,0.27133824181536537
