hour,compared_trips,target_line_trips,drt_containing_trips,mean_delta_journey_min,drt_wait_mean_min,drt_wait_p95_min
2,1,1,0,-146.76666666666668,,
3,1,1,1,-8.633333333333333,10.4,10.4
4,1,1,0,6.166666666666667,,
5,15,10,10,-0.3955555555555558,26.09666666666667,45.348333333333315
6,16,7,8,-13.589583333333334,24.895833333333332,40.13916666666666
7,28,13,18,-0.5309523809523811,17.095370370370375,30.146666666666665
8,18,9,9,-17.75925925925926,12.168518518518518,18.893333333333334
9,14,2,5,-4.226190476190476,7.1066666666666665,16.20333333333333
10,13,2,6,-1.8679487179487184,12.194444444444445,28.125
11,18,3,6,-4.530555555555555,1.5,3.1916666666666664
12,22,4,6,-5.337878787878787,6.077777777777778,12.245833333333335
13,20,6,13,-8.580833333333334,13.7,39.556666666666636
14,27,3,12,0.753086419753087,9.615277777777779,22.454999999999995
15,36,5,14,-6.847222222222222,16.671428571428574,36.47333333333333
16,27,10,14,-6.7790123456790115,12.655952380952382,43.9875
17,25,7,7,-0.7479999999999997,18.121428571428574,34.46166666666666
18,24,2,8,-0.015277777777777614,13.89375,26.40083333333333
19,8,2,3,-0.30000000000000004,12.205555555555556,26.826666666666664
20,5,0,3,-3.3200000000000003,11.044444444444444,14.138333333333334
21,4,0,0,0.30416666666666664,,
