dimension,group,n,mean_delta_score,median_delta_score,p10_delta_score,p90_delta_score,share_better,share_worse,share_using_drt
income,high,12,-0.4411183857316523,-0.5750017592242713,-2.797493551830027,1.6971901809944714,0.4166666666666667,0.5833333333333334,0.3333333333333333
income,low,31,-5.2985994083239305,-4.726815711864646,-17.545996457691118,3.6138101026894702,0.1935483870967742,0.8064516129032258,0.3870967741935484
income,middle,24,-3.643800232442804,-1.7960801210675115,-11.75573302776413,2.4806777094530768,0.3333333333333333,0.6666666666666666,0.4583333333333333
age,25-44,26,-5.826879581109005,-5.168771889349266,-13.222971127664092,0.30830192251784894,0.19230769230769232,0.8076923076923077,0.4230769230769231
age,45-64,19,-3.754368797687949,-3.3223582625947756,-11.560932769527733,3.66880526892175,0.42105263157894735,0.5789473684210527,0.42105263157894735
age,65+,10,0.6297492574220342,0.01685188970821372,-5.103614522984583,6.517635730969468,0.5,0.5,0.3
age,<25,12,-3.372235347897013,-2.107134745816886,-9.448996076997748,-0.15202467794217825,0.08333333333333333,0.9166666666666666,0.4166666666666667
gender,f,31,-3.362944946297233,-2.8213953403810166,-9.893381760004658,2.9273275038350732,0.3225806451612903,0.6774193548387096,0.3870967741935484
gender,m,36,-4.24305318139541,-2.8804403208983587,-13.222971127664092,1.4694488511235164,0.25,0.75,0.4166666666666667
car_availability,always,61,-3.9962482189951993,-3.178503186925596,-11.833559566415659,2.9273275038350732,0.3114754098360656,0.6885245901639344,0.39344262295081966
car_availability,never,6,-2.2050110844569772,-1.8754277213132653,-4.135460135158283,-0.6041453968993835,0.0,1.0,0.5
employment,false,19,-2.40861397514526,-1.1684779877554092,-9.676530755308907,3.7814525432297197,0.2631578947368421,0.7368421052631579,0.3684210526315789
employment,true,48,-4.400782132035188,-3.340218792844297,-12.11810144589409,2.0697817160372187,0.2916666666666667,0.7083333333333334,0.4166666666666667
