b0_effective_mode,scenario_effective_mode,transition_class,trips,share_of_compared_relevant_trips
TARGET_BUS,DRT_CONTAINING,target_bus_to_DRT,34,0.12927756653992395
TARGET_BUS,car,target_bus_to_car,10,0.03802281368821293
TARGET_BUS,pt,target_bus_to_other_PT,25,0.09505703422053231
TARGET_BUS,ride,target_bus_to_other,17,0.06463878326996197
TARGET_BUS,walk,target_bus_to_walk,2,0.0076045627376425855
bike,bike,other_transition,2,0.0076045627376425855
car,DRT_CONTAINING,car_to_DRT,7,0.026615969581749048
car,car,other_transition,2,0.0076045627376425855
pt,DRT_CONTAINING,other_PT_to_DRT,24,0.09125475285171103
pt,car,other_transition,8,0.030418250950570342
pt,pt,other_transition,46,0.17490494296577946
pt,ride,other_transition,7,0.026615969581749048
pt,walk,other_transition,1,0.0038022813688212928
ride,DRT_CONTAINING,other_mode_to_DRT,3,0.011406844106463879
ride,car,other_transition,2,0.0076045627376425855
ride,pt,other_transition,1,0.0038022813688212928
ride,ride,other_transition,11,0.04182509505703422
ride,walk,other_transition,2,0.0076045627376425855
walk,car,other_transition,4,0.015209125475285171
walk,ride,other_transition,1,0.0038022813688212928
walk,walk,other_transition,54,0.20532319391634982
