source,mode,trips,share
B0,bike,269312,0.14798639223273655
B0,car,504496,0.2772195183870257
B0,freight,5459,0.002999709315583817
B0,pt,392980,0.21594170486135342
B0,ride,125280,0.06884110332594624
B0,truck,29528,0.016225575502941736
B0,walk,492788,0.27078599637441253
A8_SUB1,bike,268560,0.14757252104705276
A8_SUB1,car,503405,0.2766188001105585
A8_SUB1,drt,15,8.242433034352813e-06
A8_SUB1,freight,5459,0.0029996961289688
A8_SUB1,pt,395331,0.21723261959358212
A8_SUB1,pt_w_drt_used,53,2.9123263388046605e-05
A8_SUB1,ride,124025,0.06815118380570717
A8_SUB1,truck,29529,0.016226053671426946
A8_SUB1,walk,493474,0.27116175994628133
