hour,compared_trips,target_line_trips,drt_containing_trips,mean_delta_journey_min,drt_wait_mean_min,drt_wait_p95_min
2,1,1,0,-146.08333333333334,,
3,1,1,1,-6.233333333333333,13.5,13.5
4,1,1,0,6.166666666666667,,
5,12,10,5,1.769444444444444,29.843333333333334,41.35333333333333
6,14,7,5,-7.78690476190476,16.273333333333333,30.18
7,25,13,10,-1.460666666666667,23.086666666666666,39.03916666666666
8,14,9,5,-14.322619047619051,13.166666666666666,21.249999999999996
9,7,2,3,-13.238095238095239,7.688888888888889,12.588333333333333
10,7,2,0,-0.11428571428571413,,
11,13,3,1,-8.549999999999999,1.0166666666666666,1.0166666666666666
12,18,4,0,-5.172222222222222,,
13,14,6,6,-12.251190476190475,21.03611111111111,49.37916666666666
14,22,3,7,-6.057575757575757,11.164285714285715,14.176666666666668
15,32,5,6,-4.981770833333334,15.486111111111114,27.125
16,22,10,6,-4.201515151515152,15.666666666666664,38.37083333333333
17,23,7,6,-2.6666666666666665,15.158333333333333,37.65416666666667
18,21,2,3,-1.5357142857142858,9.855555555555554,10.991666666666665
19,7,2,2,3.066666666666667,16.25,28.04
20,5,0,2,-3.06,7.566666666666666,13.461666666666666
21,4,0,0,0.30416666666666664,,
