dimension,group,target_bus_trips,share_target_trips_using_drt,share_target_trips_to_car,mean_delta_journey_min,scenario_wait_mean_min,scenario_wait_p95_min,mean_delta_wait_min
income,high,5,0.4,0.2,-2.423333333333334,24.85,46.413333333333334,8.536666666666667
income,low,35,0.4857142857142857,0.02857142857142857,-4.455238095238094,23.16904761904761,55.90666666666666,-1.8733333333333337
income,middle,30,0.4666666666666667,0.23333333333333334,-9.593333333333335,16.55666666666667,47.75916666666666,-1.6072222222222219
age,25-44,27,0.4444444444444444,0.2222222222222222,-2.7098765432098784,19.98888888888889,48.34166666666667,0.15370370370370387
age,45-64,15,0.5333333333333333,0.13333333333333333,-5.0455555555555565,25.352222222222224,60.313333333333325,1.8066666666666664
age,65+,18,0.5555555555555556,0.05555555555555555,-2.3759259259259253,20.785185185185185,48.7525,0.18055555555555605
age,<25,10,0.3,0.0,-26.423333333333336,13.775,41.1458333333333,-10.559999999999999
gender,f,27,0.4074074074074074,0.1111111111111111,-9.188271604938272,24.477160493827157,57.493333333333325,-0.7111111111111112
gender,m,43,0.5116279069767442,0.13953488372093023,-4.831782945736433,17.929844961240306,47.61833333333334,-1.206976744186046
car_availability,always,66,0.5,0.13636363636363635,-3.0664141414141417,21.69494949494949,53.20833333333333,1.1547979797979797
car_availability,never,4,0.0,0.0,-63.36666666666667,0.0,0.0,-36.829166666666666
employment,false,35,0.42857142857142855,0.11428571428571428,-11.032857142857145,18.204285714285714,49.56999999999998,-3.708571428571428
employment,true,35,0.5142857142857142,0.14285714285714285,-1.9914285714285722,22.706190476190475,53.32833333333331,1.6771428571428568
