dimension,group,n,mean_delta_score,median_delta_score,p10_delta_score,p90_delta_score,share_better,share_worse,share_using_drt
income,high,5,-1.243082156935349,-1.6317722839192044,-2.1577215981172757,-0.17375345417559054,0.2,0.8,0.4
income,low,23,-9.485434513771361,-7.883185242025249,-19.408258798725523,0.6701589752895929,0.17391304347826086,0.8260869565217391,0.5217391304347826
income,middle,19,-5.901239363220369,-4.426249050571116,-11.932164971684802,0.9908687934710881,0.21052631578947367,0.7894736842105263,0.47368421052631576
age,25-44,18,-5.6322138572819584,-3.3507870203683083,-13.230294756065334,0.8870000304492098,0.2777777777777778,0.7222222222222222,0.4444444444444444
age,45-64,11,-10.943877907774464,-6.0893338819480505,-32.59091620078927,-0.3180829634740263,0.09090909090909091,0.9090909090909091,0.6363636363636364
age,65+,12,-6.217153129849543,-6.29838362159451,-11.758307957689837,-0.5733916272926805,0.08333333333333333,0.9166666666666666,0.5
age,<25,6,-6.6892680879693645,-7.202741758012827,-15.014347979960903,2.1492854740656355,0.3333333333333333,0.6666666666666666,0.3333333333333333
gender,f,20,-7.333553024543025,-6.3717323876852845,-16.80367867984797,1.137379853804852,0.25,0.75,0.45
gender,m,27,-7.030847852286837,-5.5541020551174825,-13.4002046560516,0.16268066649345853,0.14814814814814814,0.8518518518518519,0.5185185185185185
car_availability,always,44,-7.253286253304287,-5.748369202441992,-16.2160316896776,0.8721125185854937,0.18181818181818182,0.8181818181818182,0.5227272727272727
car_availability,never,3,-5.786452452405489,-7.883185242025249,-9.477654178761496,-1.2565576102015792,0.3333333333333333,0.6666666666666666,0.0
employment,false,24,-7.215305003758044,-7.032426579682479,-14.53678747486399,0.6461546164464236,0.20833333333333334,0.7916666666666666,0.375
employment,true,23,-7.101592713583131,-4.426249050571116,-15.914658313860674,0.7446635731497799,0.17391304347826086,0.8260869565217391,0.6086956521739131
