b0_effective_mode,scenario_effective_mode,transition_class,trips,share_of_compared_relevant_trips
TARGET_BUS,DRT_CONTAINING,target_bus_to_DRT,33,0.17277486910994763
TARGET_BUS,car,target_bus_to_car,9,0.04712041884816754
TARGET_BUS,pt,target_bus_to_other_PT,18,0.09424083769633508
TARGET_BUS,ride,target_bus_to_other,9,0.04712041884816754
TARGET_BUS,walk,target_bus_to_walk,1,0.005235602094240838
bike,bike,other_transition,8,0.041884816753926704
car,DRT_CONTAINING,car_to_DRT,2,0.010471204188481676
car,car,other_transition,3,0.015706806282722512
car,pt,other_transition,3,0.015706806282722512
car,walk,other_transition,1,0.005235602094240838
pt,DRT_CONTAINING,other_PT_to_DRT,15,0.07853403141361257
pt,car,other_transition,3,0.015706806282722512
pt,pt,other_transition,43,0.225130890052356
pt,ride,other_transition,2,0.010471204188481676
pt,walk,other_transition,1,0.005235602094240838
ride,car,other_transition,2,0.010471204188481676
ride,ride,other_transition,7,0.03664921465968586
ride,walk,other_transition,1,0.005235602094240838
walk,car,other_transition,2,0.010471204188481676
walk,pt,other_transition,1,0.005235602094240838
walk,ride,other_transition,1,0.005235602094240838
walk,walk,other_transition,26,0.13612565445026178
