source,mode,trips,share
B0,bike,269312,0.14798639223273655
B0,car,504496,0.2772195183870257
B0,freight,5459,0.002999709315583817
B0,pt,392980,0.21594170486135342
B0,ride,125280,0.06884110332594624
B0,truck,29528,0.016225575502941736
B0,walk,492788,0.27078599637441253
B6_PTI,bike,268544,0.14756462106558818
B6_PTI,car,503730,0.2767990592579567
B6_PTI,drt,1,5.494988570423773e-07
B6_PTI,freight,5459,0.002999714260594338
B6_PTI,pt,394837,0.21696248021804115
B6_PTI,pt_w_drt_used,49,2.692544399507649e-05
B6_PTI,ride,124043,0.06816148672410761
B6_PTI,truck,29526,0.016224503253033234
B6_PTI,walk,493651,0.27126066027782664
