hour,compared_trips,target_line_trips,drt_containing_trips,mean_delta_journey_min,drt_wait_mean_min,drt_wait_p95_min
4,1,0,1,-24.016666666666666,12.883333333333333,12.883333333333333
5,5,2,2,-17.503333333333334,9.216666666666665,9.651666666666666
6,8,6,4,-3.779166666666665,27.09583333333333,56.851666666666645
7,17,6,4,-1.634313725490196,20.97083333333333,36.665
8,16,8,5,-5.962500000000001,40.57666666666667,63.05333333333333
9,17,13,9,-8.580392156862743,22.6,44.33999999999999
10,8,4,2,-8.487499999999999,32.916666666666664,48.54666666666667
11,13,5,3,-3.967948717948718,28.494444444444444,41.133333333333326
12,13,2,2,-4.134615384615384,27.40833333333333,30.955833333333334
13,14,4,2,6.830952380952381,38.34166666666667,46.76416666666667
14,10,3,1,-0.6433333333333326,34.8,34.8
15,13,2,3,0.8051282051282048,15.511111111111111,25.23
16,17,5,5,-6.163725490196079,16.976666666666667,33.836666666666666
17,15,4,2,3.675555555555555,30.141666666666666,47.08416666666666
18,13,4,3,3.4435897435897433,23.288888888888888,27.521666666666665
19,6,1,1,5.386111111111112,22.866666666666667,22.866666666666667
20,3,1,1,12.044444444444444,44.166666666666664,44.166666666666664
21,1,0,0,7.383333333333334,,
23,1,0,0,0.0,,
