dimension,group,target_bus_trips,share_target_trips_using_drt,share_target_trips_to_car,mean_delta_journey_min,scenario_wait_mean_min,scenario_wait_p95_min,mean_delta_wait_min
income,high,436,0.2889908256880734,0.2981651376146789,2.2992737003058106,5.770527522935784,21.99583333333333,-0.1297782874617737
income,low,796,0.21105527638190955,0.14949748743718594,4.0836474036850925,6.6840242881072,25.083333333333332,-1.43391959798995
income,middle,600,0.23166666666666666,0.2816666666666667,0.47063888888888905,6.523472222222224,25.57749999999993,-0.8919166666666678
age,25-44,599,0.24373956594323873,0.24874791318864775,2.2400667779632752,7.348024485253197,26.900000000000006,-1.0788814691151938
age,45-64,630,0.24761904761904763,0.27936507936507937,1.8863492063492069,6.070661375661373,22.699999999999985,-1.324259259259261
age,65+,270,0.2074074074074074,0.1925925925925926,2.5039506172839494,4.9249382716049395,20.91499999999999,-0.6424691358024696
age,<25,333,0.22522522522522523,0.12312312312312312,3.991541541541539,6.59099099099099,26.310000000000002,-0.23763763763763746
gender,f,981,0.23955147808358818,0.25178389398572887,2.0615868161739708,5.857441386340471,22.166666666666668,-1.0191811077132193
gender,m,851,0.23266745005875442,0.2009400705052879,2.9530356443399963,7.055660007833915,26.700000000000003,-0.8617117117117119
car_availability,always,1671,0.23518850987432674,0.25014961101137045,2.29966088170756,6.39290843806104,24.141666666666666,-1.0833532814681823
car_availability,never,161,0.2484472049689441,0.0,4.302587991718427,6.633333333333335,23.366666666666667,0.47919254658385096
employment,false,488,0.22131147540983606,0.12704918032786885,3.2295765027322387,5.768989071038257,23.30833333333333,-0.19118852459016403
employment,true,1344,0.2418154761904762,0.2648809523809524,2.201946924603177,6.648251488095238,24.205833333333317,-1.2201140873015868
