b0_effective_mode,scenario_effective_mode,transition_class,trips,share_of_compared_relevant_trips
TARGET_BUS,DRT_CONTAINING,target_bus_to_DRT,433,0.08878408857904449
TARGET_BUS,bike,target_bus_to_bike,100,0.02050440844781628
TARGET_BUS,car,target_bus_to_car,418,0.08570842731187205
TARGET_BUS,pt,target_bus_to_other_PT,587,0.12036087758868157
TARGET_BUS,ride,target_bus_to_other,228,0.04675005126102112
TARGET_BUS,walk,target_bus_to_walk,66,0.013532909575558746
bike,DRT_CONTAINING,active_mode_to_DRT,13,0.0026655730982161163
bike,bike,other_transition,40,0.008201763379126512
bike,ride,other_transition,2,0.0004100881689563256
bike,walk,other_transition,10,0.002050440844781628
car,DRT_CONTAINING,car_to_DRT,34,0.006971498872257536
car,bike,other_transition,2,0.0004100881689563256
car,car,other_transition,61,0.01250768915316793
car,pt,other_transition,19,0.0038958376050850932
car,ride,other_transition,3,0.0006151322534344885
car,walk,other_transition,7,0.0014353085913471396
pt,DRT_CONTAINING,other_PT_to_DRT,93,0.01906909985646914
pt,bike,other_transition,71,0.01455812999794956
pt,car,other_transition,250,0.0512610211195407
pt,pt,other_transition,1009,0.20688948123846626
pt,ride,other_transition,119,0.024400246052901375
pt,walk,other_transition,28,0.005741234365388558
ride,DRT_CONTAINING,other_mode_to_DRT,9,0.0018453967603034652
ride,bike,other_transition,4,0.0008201763379126512
ride,car,other_transition,46,0.00943202788599549
ride,pt,other_transition,32,0.00656141070330121
ride,ride,other_transition,168,0.03444740619233135
ride,walk,other_transition,20,0.004100881689563256
walk,DRT_CONTAINING,active_mode_to_DRT,12,0.002460529013737954
walk,bike,other_transition,26,0.005331146196432233
walk,car,other_transition,89,0.01824892351855649
walk,pt,other_transition,20,0.004100881689563256
walk,ride,other_transition,49,0.010047160139429977
walk,walk,other_transition,809,0.16588066434283372
