source,mode,trips,share
B0,bike,269312,0.14798639223273655
B0,car,504496,0.2772195183870257
B0,freight,5459,0.002999709315583817
B0,pt,392980,0.21594170486135342
B0,ride,125280,0.06884110332594624
B0,truck,29528,0.016225575502941736
B0,walk,492788,0.27078599637441253
C22_PTI,bike,268285,0.1474227059046562
C22_PTI,car,503926,0.27690752183577083
C22_PTI,drt,123,6.758854511535386e-05
C22_PTI,freight,5459,0.0029997225023147703
C22_PTI,pt,393657,0.21631466589003948
C22_PTI,pt_w_drt_used,471,0.00025881467275879405
C22_PTI,ride,124474,0.06839850865600453
C22_PTI,truck,29526,0.016224547829885676
C22_PTI,walk,493914,0.2714059241634544
