hour,compared_trips,target_line_trips,drt_containing_trips,mean_delta_journey_min,drt_wait_mean_min,drt_wait_p95_min
1,1,0,0,0.0,,
2,5,3,1,-82.84666666666666,36.0,36.0
3,3,3,1,-9.972222222222221,12.633333333333333,12.633333333333333
4,15,6,1,-6.516666666666665,22.166666666666668,22.166666666666668
5,80,62,14,-0.19208333333333308,19.63214285714286,34.01916666666666
6,179,101,45,3.134171322160152,17.40222222222223,33.10666666666667
7,375,181,61,0.9883111111111104,16.028688524590166,27.7
8,355,132,42,3.033380281690144,18.119841269841274,44.83916666666663
9,262,94,36,0.05992366412213747,13.856018518518514,29.1125
10,182,70,26,1.3722527472527493,13.204487179487181,33.43333333333333
11,259,77,28,1.3385456885456886,10.942261904761907,23.48083333333333
12,301,84,22,-0.6677187153931339,13.140909090909089,27.174999999999997
13,319,109,40,0.6949843260188079,12.948749999999995,27.17333333333333
14,380,143,46,0.08372807017543786,13.677173913043482,32.17916666666667
15,521,227,68,1.2424824056301988,11.108088235294119,22.865
16,531,197,56,2.3244821092278736,16.619940476190475,42.40416666666667
17,415,151,51,1.6881927710843376,12.467320261437914,21.641666666666666
18,310,84,25,1.4204301075268826,10.018666666666666,20.069999999999993
19,192,50,12,-0.6685763888888885,9.75,28.854999999999983
20,90,30,8,-5.682407407407408,9.412500000000001,19.552500000000002
21,53,19,8,-4.5452830188679245,6.39375,14.153333333333332
22,29,3,2,3.4971264367816097,1.9249999999999998,2.2475
23,15,6,1,-4.533333333333333,9.816666666666666,9.816666666666666
24,3,0,0,-0.6944444444444445,,
25,2,0,0,0.0,,
